fq1,fq2,tissue,oryza
/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra_2.fastq,leaf,glumipatula
/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra_2.fastq,panicle,glumipatula
/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra_2.fastq,root,glumipatula
