fq1,fq2,tissue,oryza
/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra_2.fastq,leaf,minuta
/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra_2.fastq,panicle,minuta
/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra_2.fastq,root,minuta
