fq1,fq2,tissue,oryza
/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra_2.fastq,leaf,barthii
/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra_2.fastq,root,barthii
/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra_2.fastq,panicle,barthii
