fq1,fq2,tissue,oryza
/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra_2.fastq,leaf,nivara
/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra_2.fastq,root,nivara
/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra_1.fastq,/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra_2.fastq,panicle,nivara
