baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ChrSy.fgenesh.mRNA.17,575.937155434499,3.54136853731612,1.0746520480319,3.29536294450071,0.000982946377501739,0.0181166296937274
ChrSy.fgenesh.mRNA.54,74.2054404505412,-3.83741701739983,1.01849698802187,-3.76772544497445,0.000164741743155603,0.00402500539332085
ChrSy.fgenesh.mRNA.57,94.2419321577161,-3.37131445764563,1.06127449007893,-3.1766658759459,0.00148978565855603,0.0252494729300568
ChrSy.fgenesh.mRNA.68,58.9342967039967,3.65339339363809,1.04416117726534,3.49887878728293,0.000467218928286537,0.00986117227519683
ChrSy.fgenesh.mRNA.73,82.9932597445914,-4.59784541335721,1.01251894756935,-4.54099691111437,5.59888520636356e-06,0.000211563610351569
ChrUn.fgenesh.mRNA.12,658.843200517999,3.66546653290537,1.07263906447,3.41724132032847,0.000632591789703513,0.0126548367038886
ChrUn.fgenesh.mRNA.45,412.342922527864,-3.31744461787699,0.88642151775581,-3.74251363648741,0.000182188642748654,0.00439022575126328
LOC_Os01g01340.1,132526.130256381,-2.08886389453459,0.554673725351109,-3.765932653854,0.000165928517319276,0.00404930878203348
LOC_Os01g01760.1,64.6958285262456,-3.49219956236327,1.06199247791116,-3.28834679623352,0.00100777617006537,0.0184292806121668
LOC_Os01g01840.1,90.0980904328371,-3.64477121380476,1.04782317088821,-3.47842204206572,0.00050437512288641,0.0104982719309575
LOC_Os01g02000.1,622.89941190849,-2.46659356687878,0.744408312201672,-3.31349546538989,0.000921376011446097,0.0172074519055279
LOC_Os01g02010.1,640.278730844248,-2.85421400623057,0.83448779068948,-3.42031847329045,0.000625478641307007,0.0125721803164521
LOC_Os01g02390.1,1266.83044715569,-6.76632146879322,0.923080739676096,-7.33015128358922,2.29893069697422e-13,2.72319964863492e-11
LOC_Os01g02570.1,3015.92638870825,-3.13383853568745,0.700756616644993,-4.47207840960718,7.74630121800578e-06,0.000279675960927486
LOC_Os01g02580.1,2352.28467849751,-2.64003386370977,0.647213262776416,-4.07907874505622,4.52145209254832e-05,0.00132813845873027
LOC_Os01g02600.1,274.652075892416,-3.45431770815156,0.872014320417023,-3.96130846394771,7.45401625232552e-05,0.00205180068773216
LOC_Os01g02700.1,2238.60885144987,-1.89020021276058,0.62872991533121,-3.00637867973061,0.00264379528697505,0.0398744088883183
LOC_Os01g02710.1,2189.14071205501,-1.76291874371052,0.535070320294555,-3.29474216162847,0.000985120237787338,0.0181250089125183
LOC_Os01g02730.1,219.416734746835,-6.9386214089194,0.893884414139031,-7.762325082715,8.33863342279411e-15,1.19605500489533e-12
LOC_Os01g02750.1,263.069164222869,-5.78649468829673,0.771240985022032,-7.50283607935,6.24516315341673e-14,8.07848252084612e-12
LOC_Os01g02760.1,1521.40157622017,-4.76708026117135,0.868699452561847,-5.487605922984,4.07417716759242e-08,2.40627522629373e-06
LOC_Os01g02770.1,1073.25161343248,-4.82383797762277,0.974435480821887,-4.9503923785227,7.40640049566128e-07,3.38750443494616e-05
