SRR1170742,SRR1170744,SRR1170762,SRR1174772,SRR1174773,SRR1174777,SRR1179197,SRR1179198,SRR1179199,SRR1171629,SRR1171630,SRR1171631
ChrSy.fgenesh.gene.6.MSUR7,0,4,35,11,88,0,2,14,0,2,0,16
ChrSy.fgenesh.gene.70.MSUR7,3,0,2,0,0,0,0,2,0,0,0,0
ChrSy.fgenesh.gene.71.MSUR7,0,0,2,0,1,0,0,1,1,0,2,4
ChrSy.fgenesh.gene.72.MSUR7,0,0,0,0,0,0,0,5,0,0,0,1
ChrSy.fgenesh.gene.73.MSUR7,2,0,0,0,0,0,0,1,0,1,7,0
ChrSy.fgenesh.gene.74.MSUR7,574,394,3111,4075,5705,54,507,1205,88,1985,3091,3249
ChrSy.fgenesh.gene.75.MSUR7,19,13,161,129,216,6,6,14,1,4,2,24
ChrSy.fgenesh.gene.76.MSUR7,1,2,9,7,10,0,0,8,0,8,6,3
ChrSy.fgenesh.gene.77.MSUR7,0,0,0,2,2,0,0,0,0,2,0,3
ChrSy.fgenesh.gene.78.MSUR7,0,0,2,0,0,0,0,0,0,4,2,0
ChrSy.fgenesh.gene.79.MSUR7,0,0,1,6,1,0,0,4,0,0,0,0
ChrSy.fgenesh.gene.7.MSUR7,0,0,8,80,82,2,22,22,6,6,16,8
ChrSy.fgenesh.gene.80.MSUR7,0,0,2,0,0,2,0,3,0,0,0,0
ChrSy.fgenesh.gene.81.MSUR7,0,0,0,2,0,0,0,0,2,0,0,0
ChrSy.fgenesh.gene.82.MSUR7,78,2,31,38,12,0,501,82,2,186,8,25
ChrSy.fgenesh.gene.83.MSUR7,2,0,2,2,0,0,145,18,0,4,0,0
ChrSy.fgenesh.gene.84.MSUR7,2,2,2,0,0,0,6,20,1,1,23,3
ChrSy.fgenesh.gene.85.MSUR7,0,0,4,3,1,0,2,0,0,0,0,20
ChrSy.fgenesh.gene.86.MSUR7,4,0,10,25,8,0,298,64,2,46,4,17
ChrSy.fgenesh.gene.87.MSUR7,1,0,1,6,0,0,2,1,0,0,1,0
ChrSy.fgenesh.gene.88.MSUR7,0,0,0,7,1,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.89.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.8.MSUR7,0,0,0,2,5,0,0,0,0,0,1,0
ChrSy.fgenesh.gene.9.MSUR7,0,0,0,0,0,0,0,1,0,0,0,0
ChrUn.fgenesh.gene.10.MSUR7,0,0,4,1,4,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.11.MSUR7,0,0,0,0,2,0,0,0,0,2,0,0
ChrUn.fgenesh.gene.12.MSUR7,0,0,0,18,0,0,0,0,0,12,6,6
ChrUn.fgenesh.gene.13.MSUR7,0,0,0,0,0,0,0,0,0,1,0,0
ChrUn.fgenesh.gene.14.MSUR7,0,0,0,0,0,0,1,0,0,0,0,0
ChrUn.fgenesh.gene.15.MSUR7,0,0,0,4,0,0,0,0,0,0,2,0
ChrUn.fgenesh.gene.16.MSUR7,0,0,6,0,2,0,2,0,0,2,0,0
ChrUn.fgenesh.gene.17.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.18.MSUR7,277,156,59,0,0,20,74,0,0,0,0,0
ChrUn.fgenesh.gene.19.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.1.MSUR7,8,11,179,330,158,4,0,0,0,36,8,105
ChrUn.fgenesh.gene.20.MSUR7,51,175,34,738,530,8,780,2693,93,793,1540,1108
ChrUn.fgenesh.gene.21.MSUR7,0,0,0,0,2,0,10,5,0,8,13,10
ChrUn.fgenesh.gene.22.MSUR7,0,0,0,0,0,0,27568,5037,397,6,0,0
ChrUn.fgenesh.gene.23.MSUR7,0,0,2,0,0,0,1624,1938,275,0,0,0
ChrUn.fgenesh.gene.24.MSUR7,0,0,0,0,0,0,36,26,0,21,20,93
ChrUn.fgenesh.gene.25.MSUR7,0,0,0,0,0,0,0,0,0,6,9,4
ChrUn.fgenesh.gene.26.MSUR7,1,2,12,16,38,6,4,16,0,0,8,2
ChrUn.fgenesh.gene.27.MSUR7,0,0,2,49,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.28.MSUR7,0,2,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.29.MSUR7,0,0,2,0,508,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.2.MSUR7,2,4,7,0,2,0,0,0,0,0,0,2
ChrUn.fgenesh.gene.30.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.31.MSUR7,0,21,6,0,0,0,0,12,0,0,0,0
ChrUn.fgenesh.gene.32.MSUR7,0,0,0,0,0,0,0,4,1,0,0,0
ChrUn.fgenesh.gene.33.MSUR7,0,0,0,136,235,0,0,0,0,426,9,493
ChrUn.fgenesh.gene.34.MSUR7,0,0,0,1,3,0,0,2,0,38,44,328
ChrUn.fgenesh.gene.35.MSUR7,0,0,129,0,0,0,0,16,0,0,0,78
ChrUn.fgenesh.gene.36.MSUR7,3,0,1,4,1,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.37.MSUR7,0,0,0,0,0,0,0,5,0,0,0,0
ChrUn.fgenesh.gene.38.MSUR7,0,0,7,74,247,4,0,3,0,0,2,6
ChrUn.fgenesh.gene.39.MSUR7,0,0,0,0,2,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.3.MSUR7,0,0,2,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.40.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.41.MSUR7,0,0,38,0,2,0,0,0,0,0,0,526
ChrUn.fgenesh.gene.42.MSUR7,0,0,0,0,0,0,0,6,0,0,0,0
ChrUn.fgenesh.gene.43.MSUR7,0,0,0,0,0,0,0,0,0,1,1,0
ChrUn.fgenesh.gene.44.MSUR7,0,0,0,0,0,0,0,1,0,0,0,0
ChrUn.fgenesh.gene.45.MSUR7,0,0,0,0,0,0,0,1,0,8,19,179
ChrUn.fgenesh.gene.46.MSUR7,0,0,0,0,0,0,1,1,0,28,12,8
ChrUn.fgenesh.gene.47.MSUR7,0,0,1,0,0,0,0,0,0,1,0,0
ChrUn.fgenesh.gene.48.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.49.MSUR7,0,0,0,0,0,0,0,0,0,4,0,1
ChrUn.fgenesh.gene.4.MSUR7,4,2,14,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.50.MSUR7,0,0,0,0,0,0,0,0,0,1,0,0
ChrUn.fgenesh.gene.51.MSUR7,0,0,0,0,0,0,0,0,0,4,2,8
ChrUn.fgenesh.gene.52.MSUR7,2,2,0,0,0,0,0,0,0,4,1,5
ChrUn.fgenesh.gene.53.MSUR7,0,0,0,0,0,0,0,0,0,4,4,2
ChrUn.fgenesh.gene.54.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.55.MSUR7,0,0,0,1,0,0,0,0,0,4,0,2
ChrUn.fgenesh.gene.56.MSUR7,0,0,0,0,0,0,0,0,0,0,10,0
ChrUn.fgenesh.gene.57.MSUR7,0,0,0,0,0,0,2216,620,252,358,5476,93
ChrUn.fgenesh.gene.58.MSUR7,0,0,0,0,0,0,0,0,0,24,88,962
ChrUn.fgenesh.gene.59.MSUR7,0,0,0,2,2,0,177,0,10,327,201,61
ChrUn.fgenesh.gene.5.MSUR7,2,0,0,0,2,0,0,0,0,0,2,0
ChrUn.fgenesh.gene.60.MSUR7,0,0,0,0,7,0,4,0,0,18,37,12
ChrUn.fgenesh.gene.61.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.62.MSUR7,0,0,0,4,0,0,0,0,0,4,0,1502
ChrUn.fgenesh.gene.63.MSUR7,2,0,4,2,0,0,0,0,0,19,3,39
ChrUn.fgenesh.gene.64.MSUR7,0,0,0,0,0,0,0,0,0,0,0,3
ChrUn.fgenesh.gene.65.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.66.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.67.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.68.MSUR7,0,1,0,2,0,0,3,1,1,1,15,0
ChrUn.fgenesh.gene.69.MSUR7,2,0,4,4,2,0,13,3,1,2,4,3
ChrUn.fgenesh.gene.6.MSUR7,0,0,0,0,0,0,0,0,0,0,0,5
ChrUn.fgenesh.gene.70.MSUR7,0,0,0,1,0,0,0,0,0,0,2,0
ChrUn.fgenesh.gene.71.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.72.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.73.MSUR7,2,1,2,3,1,0,1,0,3,2,20,0
ChrUn.fgenesh.gene.74.MSUR7,3,0,11,6,10,0,106,154,8,5,3,10
ChrUn.fgenesh.gene.75.MSUR7,0,1,0,0,0,0,0,1,0,5,3,4
ChrUn.fgenesh.gene.76.MSUR7,415,59,800,1907,1403,6,937,1088,80,704,470,2264
ChrUn.fgenesh.gene.77.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.78.MSUR7,0,0,0,2,34,0,0,0,0,0,0,2
ChrUn.fgenesh.gene.79.MSUR7,39,51,179,70,298,2,105,1662,21,1119,936,3938
ChrUn.fgenesh.gene.7.MSUR7,0,0,0,0,0,0,2,0,0,4,5,5
ChrUn.fgenesh.gene.80.MSUR7,0,0,0,2,0,0,10,5,2,0,0,3
ChrUn.fgenesh.gene.81.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.82.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.83.MSUR7,6,2,12,12,27,0,27,33,6,1077,1870,1973
ChrUn.fgenesh.gene.84.MSUR7,0,0,0,0,0,0,4,2,0,0,0,0
ChrUn.fgenesh.gene.85.MSUR7,80,50,739,661,992,8,119,940,28,968,1394,3787
ChrUn.fgenesh.gene.86.MSUR7,8,4,65,443,185,0,126,42,4,128,498,290
ChrUn.fgenesh.gene.87.MSUR7,0,0,2,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.88.MSUR7,0,0,1,1,0,0,3,2,0,4,8,8
ChrUn.fgenesh.gene.89.MSUR7,0,0,2,0,0,0,0,0,0,4,0,7
ChrUn.fgenesh.gene.8.MSUR7,0,0,1,8,0,0,10,6,0,2,6,0
ChrUn.fgenesh.gene.90.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.91.MSUR7,0,0,0,0,0,0,1,0,0,1,0,2
ChrUn.fgenesh.gene.92.MSUR7,23,0,9,251,78,0,1302,269,0,46,0,28
ChrUn.fgenesh.gene.93.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrUn.fgenesh.gene.94.MSUR7,3,0,0,1,7,0,18,0,0,10,0,0
ChrUn.fgenesh.gene.95.MSUR7,0,0,0,0,0,0,0,1,0,4,12,8
ChrUn.fgenesh.gene.96.MSUR7,2236,346,27133,6425,18159,246,172,1567,34,8549,5734,76229
ChrUn.fgenesh.gene.9.MSUR7,0,0,2,24,2,0,0,0,0,0,1,0
LOC_Os01g01010.MSUR7,1967,705,7021,14012,8342,144,10413,10795,1246,10976,7046,11369
LOC_Os01g01019.MSUR7,4,27,60,10,78,2,0,0,0,24,697,141
LOC_Os01g01030.MSUR7,88,187,2733,1437,3859,36,881,2093,130,160,914,3199
LOC_Os01g01040.MSUR7,973,579,5640,8670,6982,122,3612,5738,491,6282,6199,10524
LOC_Os01g01050.MSUR7,911,800,4070,8246,5328,64,4183,2960,466,5590,8271,8498
LOC_Os01g01060.MSUR7,2584,1506,40607,14367,31018,380,14526,47626,1720,10914,17612,54818
LOC_Os01g01070.MSUR7,917,481,3637,7684,5491,82,2915,5259,485,3310,3513,3233
LOC_Os01g01080.MSUR7,3219,2593,24328,25238,25382,333,19705,32563,4954,13491,41529,25496
LOC_Os01g01110.MSUR7,0,6,26,31,18,0,6,27,0,23,267,21
LOC_Os01g01115.MSUR7,14,37,170,73,115,0,615,424,24,45,340,198
LOC_Os01g01120.MSUR7,2146,275,6917,5681,8642,58,6086,5525,195,11996,3163,17116
LOC_Os01g01130.MSUR7,2454,418,7004,7434,10211,57,5635,7808,461,10372,4798,15911
LOC_Os01g01140.MSUR7,0,0,3,0,0,0,1,0,0,0,0,0
LOC_Os01g01150.MSUR7,2960,1388,9760,17006,10952,164,13031,15837,1342,11869,7360,18378
LOC_Os01g01160.MSUR7,3944,92,4166,24043,2955,52,10669,7800,504,23730,2312,4253
LOC_Os01g01170.MSUR7,63,50,702,481,145,28,39,303,70,841,247,543
LOC_Os01g01180.MSUR7,5,0,12,6,3,2,5,42,8,15,4,1
LOC_Os01g01190.MSUR7,2,48,1715,16,1141,28,32,1051,87,5,54,1270
LOC_Os01g01280.MSUR7,998,82,1930,17753,4809,18,32276,1929,64,3972,435,2788
LOC_Os01g01290.MSUR7,71,2,202,201,95,0,339,34,0,148,1,899
LOC_Os01g01295.MSUR7,775,251,3969,6850,7396,101,1400,5384,424,3875,2562,6343
LOC_Os01g01302.MSUR7,12483,395,14768,28728,4159,44,37468,4499,46,27392,1838,12331
LOC_Os01g01307.MSUR7,3200,2201,26911,24331,35517,687,16251,60019,4638,12896,24252,61795
LOC_Os01g01340.MSUR7,154492,6537,188523,189273,236492,436,920629,8322,90,361342,53566,231330
