SRR1170742,SRR1170744,SRR1170762,SRR1174772,SRR1174773,SRR1174777,SRR1179197,SRR1179198,SRR1179199,SRR1171629,SRR1171630,SRR1171631
LOC_Os01g59930.MSUR7,3022,2217,27603,19054,27657,1275,15591,46644,4376,8293,26368,53638
LOC_Os01g59940.MSUR7,0,0,2,4,13,0,0,0,0,37,67,67
LOC_Os01g59950.MSUR7,595,144,4727,10335,9456,91,2515,8167,668,1631,2705,5817
LOC_Os01g59970.MSUR7,3130,1239,30083,131241,55231,535,5194,12134,609,6641,13460,36164
LOC_Os01g59980.MSUR7,6470,712,15420,28659,17306,126,38539,12344,685,22602,9673,17344
LOC_Os01g59990.MSUR7,4257,3335,50518,36147,60616,1257,23200,55345,6771,35249,66196,91286
LOC_Os01g60000.MSUR7,91,98,1227,291,803,8,949,1137,74,208,839,1305
LOC_Os01g60010.MSUR7,14,63,471,62,357,18,182,392,34,50,484,352
LOC_Os01g60020.MSUR7,172,156,5862,1915,3045,62,1055,3756,2687,1336,2404,1187
LOC_Os01g60040.MSUR7,2048,2259,17397,15958,17333,554,17194,40334,4488,13989,19460,40265
LOC_Os01g60050.MSUR7,0,0,18,0,35,2,5,7,0,2,0,596
LOC_Os01g60060.MSUR7,8,1145,238,92,315,0,84,215,220,33,1359,1227
LOC_Os01g60070.MSUR7,44,11,156,360,112,1,0,0,0,5,24,191
LOC_Os01g60080.MSUR7,8,1,17186,414,1543,314,8,13796,0,0,0,60775
LOC_Os01g60110.MSUR7,723,340,9101,3211,3961,178,2379,7492,455,2513,1203,20005
LOC_Os01g60120.MSUR7,1826,124,4431,8311,5607,36,3473,5599,14,10421,640,6074
LOC_Os01g60130.MSUR7,0,0,6,14,39,0,1,0,0,2,6,27
LOC_Os01g60140.MSUR7,2,0,2231,22,2,52,2060,374,10,2,0,1895
LOC_Os01g60150.MSUR7,0,0,2,0,0,0,0,0,0,0,2,0
LOC_Os01g60160.MSUR7,2,0,11,0,8,2,0,0,0,0,4,5
LOC_Os01g60170.MSUR7,74,48,545,177,2093,30,432,313,271,503,647,1522
LOC_Os01g60180.MSUR7,0,0,0,0,1,0,0,1,0,0,0,3
LOC_Os01g60190.MSUR7,22528,7465,133948,97041,137580,2164,41525,99100,9532,44384,74956,166170
LOC_Os01g60200.MSUR7,1511,907,13328,9442,13869,206,14975,30603,2349,3632,13168,21722
LOC_Os01g60230.MSUR7,1953,1466,9626,17962,10968,267,16295,23386,827,6352,32337,15019
LOC_Os01g60250.MSUR7,187,151,983,1739,1079,16,1092,632,110,764,1420,1387
LOC_Os01g60260.MSUR7,312,206,5316,2354,4648,70,1955,3321,140,759,2937,5904
LOC_Os01g60270.MSUR7,486,283,3899,4584,7413,94,6952,11232,2041,1232,5213,5009
LOC_Os01g60280.MSUR7,720,1708,5613,20627,8781,183,10442,3661,2075,4135,20119,10900
LOC_Os01g60290.MSUR7,4,6,15,97,74,0,0,2,0,60,141,55
LOC_Os01g60330.MSUR7,44,194,1619,326,1069,104,60,2218,122,401,484,7024
LOC_Os01g60340.MSUR7,6,83,26,15,13,2,128,122,9,36,1138,87
LOC_Os01g60350.MSUR7,159,186,1008,1722,1480,34,155,911,119,1165,1804,2094
LOC_Os01g60360.MSUR7,3287,4766,35333,45013,46174,822,9580,61168,6193,154,638,591
LOC_Os01g60410.MSUR7,4656,4647,56021,45702,57631,774,37240,107232,6519,39627,97114,204587
LOC_Os01g60420.MSUR7,22,48,221,513,277,8,206,98,124,335,289,189
LOC_Os01g60430.MSUR7,49,42,579,1165,1069,12,468,646,32,118,329,396
LOC_Os01g60440.MSUR7,1903,1601,12628,15296,18706,428,7784,19402,1780,10619,25784,28255
LOC_Os01g60450.MSUR7,0,2,43,986,5,0,98,2006,21,124,3,212
LOC_Os01g60460.MSUR7,0,0,0,0,0,0,0,0,0,0,0,2
LOC_Os01g60490.MSUR7,6,0,25,1,14,0,936,420,2,11,2,87
LOC_Os01g60500.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g60510.MSUR7,0,0,3,0,0,0,0,0,0,0,0,0
LOC_Os01g60520.MSUR7,0,0,0,8,0,0,0,0,17,1,71,0
LOC_Os01g60540.MSUR7,0,0,0,0,3,0,0,0,0,4,0,2
LOC_Os01g60600.MSUR7,151,0,139,403,509,2,109,112,56,94,16,954
LOC_Os01g60630.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g60640.MSUR7,1108,439,11382,14356,9553,59,6824,22348,642,3806,6469,23930
LOC_Os01g60650.MSUR7,1231,675,13321,16703,11772,115,7374,23968,856,4648,9477,27799
LOC_Os01g60660.MSUR7,1900,1310,14809,10162,16017,258,7712,17560,1671,7471,25013,20491
LOC_Os01g60670.MSUR7,159,205,2534,306,1435,74,126,3537,104,158,975,4838
LOC_Os01g60680.MSUR7,154,144,628,525,202,2,19,49,10,116,566,431
LOC_Os01g60690.MSUR7,0,13,78,10,61,0,2,117,1,11,183,81
LOC_Os01g60700.MSUR7,1750,1732,5848,6148,4513,106,3984,7373,1867,5425,14128,9128
LOC_Os01g60710.MSUR7,0,0,0,2,3,4,0,0,0,0,0,2
LOC_Os01g60720.MSUR7,6,0,0,9,2,0,0,0,0,184,4,23
LOC_Os01g60730.MSUR7,2832,463,5210,15178,7535,36,9878,108,74,8398,4418,7506
LOC_Os01g60740.MSUR7,0,0,19938,2,25636,180,8,27562,0,1,4,23012
LOC_Os01g60760.MSUR7,0,0,15,54,4,2,0,0,0,15,17,96
LOC_Os01g60770.MSUR7,564,220,29805,12297,82590,739,612,5284,689,59,393,35730
LOC_Os01g60780.MSUR7,93,117,1153,550,756,20,127,558,24,353,2084,3587
LOC_Os01g60790.MSUR7,2155,1293,28640,17955,33720,508,9654,37135,1601,9296,15311,48898
LOC_Os01g60800.MSUR7,58,46,439,384,1178,6,203,1068,234,169,356,3791
LOC_Os01g60810.MSUR7,113,8,3503,1418,2483,26,996,1939,24,828,158,2920
LOC_Os01g60830.MSUR7,60991,89,30456,408339,42597,498,55950,21598,55,174236,239,9259
LOC_Os01g60850.MSUR7,1059,24,1040,11541,1409,21,1240,1253,32,1871,330,2208
LOC_Os01g60860.MSUR7,80,614,1389,2550,1355,102,540,1112,959,652,6932,2105
LOC_Os01g60870.MSUR7,3,6,107,1044,1629,10,0,0,0,0,3,2
LOC_Os01g60890.MSUR7,0,0,0,0,0,0,0,2,0,0,0,0
LOC_Os01g60900.MSUR7,0,0,302,4,378,13,32,575,8,0,0,791
LOC_Os01g60910.MSUR7,274,352,3156,11499,3976,45,566,2264,236,1109,2432,5755
LOC_Os01g60920.MSUR7,0,20,215,6,1591,2,0,76,0,4755,10238,8086
LOC_Os01g60930.MSUR7,530,1276,242,5254,622,14,696,126,498,2145,12619,321
LOC_Os01g60940.MSUR7,10,10,184,685,409,4,142,2043,0,36,2,2235
LOC_Os01g60960.MSUR7,2,24,170,12,260,6,6,3669,162,0,44,1576
LOC_Os01g61010.MSUR7,3076,59,10791,46970,10483,88,2888,5677,260,4517,392,7111
LOC_Os01g61020.MSUR7,0,0,78,24,7,0,18,16,0,1,0,131
LOC_Os01g61030.MSUR7,1372,664,5921,8866,7270,115,16934,11785,1801,5502,7534,11043
LOC_Os01g61044.MSUR7,493,132,5768,7944,8668,33,10771,6542,150,364,3756,1727
LOC_Os01g61060.MSUR7,132,155,1157,3974,2038,20,389,469,89,471,1236,1872
LOC_Os01g61070.MSUR7,3260,305,5224,36529,6022,64,32191,4268,179,4884,7153,4929
LOC_Os01g61080.MSUR7,219,502,129,1144,521,14,3327,622,1729,5568,2678,102
LOC_Os01g61110.MSUR7,15,74,263,73,245,8,230,71,19,58,57,683
LOC_Os01g61120.MSUR7,11808,294,9437,55901,8781,152,4164,10425,623,54463,2194,5870
LOC_Os01g61150.MSUR7,911,320,3728,15219,8180,121,862,6137,584,2615,1753,4122
LOC_Os01g61160.MSUR7,0,286,32,164,156,22,4,70,284,14,1172,75
LOC_Os01g61170.MSUR7,19,47,247,863,850,26,204,593,176,101,1248,632
LOC_Os01g61180.MSUR7,1033,288,6830,7635,10654,92,3494,6739,364,3351,3684,9135
LOC_Os01g61190.MSUR7,212,784,835,2146,870,13,1151,867,491,1224,4977,2989
LOC_Os01g61200.MSUR7,125,221,559,1356,603,2,518,664,198,685,2027,2193
LOC_Os01g61210.MSUR7,0,10,2,4,140,0,0,513,24,0,17,658
LOC_Os01g61220.MSUR7,0,0,3,0,1,0,0,2,0,0,2,0
LOC_Os01g61230.MSUR7,2726,108,2859,17056,6500,86,2091,2850,220,2931,576,2220
LOC_Os01g61240.MSUR7,10,0,150,70,72,0,101,565,6,8,3,251
LOC_Os01g61250.MSUR7,98,159,961,1270,1149,36,641,3051,121,536,1284,3003
LOC_Os01g61290.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g61300.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g61310.MSUR7,2,17,68,107,177,6,8,71,109,4,1068,105
LOC_Os01g61320.MSUR7,873,268,4901,3489,1866,22,9606,3448,74,1884,329,3933
LOC_Os01g61330.MSUR7,10,14,428,476,706,13,109,922,6,108,137,1947
LOC_Os01g61340.MSUR7,0,0,1,1870,1667,0,0,0,0,1337,698,1588
LOC_Os01g61350.MSUR7,24,8,469,1032,1572,8,423,4421,19,228,270,2496
LOC_Os01g61360.MSUR7,0,0,0,4,11,0,0,2,0,0,2,12
LOC_Os01g61370.MSUR7,10,0,76,74,369,2,400,647,2,38,1,1116
LOC_Os01g61380.MSUR7,142,1127,8584,3955,16597,337,414,14568,726,585,21078,25563
LOC_Os01g61400.MSUR7,12574,801,19453,43123,21346,250,18370,17559,1014,47178,9317,18194
LOC_Os01g61410.MSUR7,1769,752,6792,15639,7497,160,9079,9198,788,5657,5610,10173
LOC_Os01g61420.MSUR7,606,456,3091,6315,7468,86,3672,5057,604,3828,5259,7710
LOC_Os01g61430.MSUR7,713,231,3564,4229,7031,50,1481,2163,125,4051,9961,7471
LOC_Os01g61440.MSUR7,300,304,637,7556,1044,8,1171,5002,584,870,9255,993
LOC_Os01g61450.MSUR7,0,0,2,2,6,0,0,0,0,1,1,7
LOC_Os01g61460.MSUR7,495,687,2262,6330,3370,154,7715,3866,1253,1801,9975,8587
LOC_Os01g61470.MSUR7,0,0,5,218,21,0,2,51,0,1,0,16
LOC_Os01g61480.MSUR7,0,0,3,0,6,0,6,2,0,0,0,2
LOC_Os01g61500.MSUR7,2138,671,18297,15538,44675,411,17247,38877,1590,9218,14039,79848
LOC_Os01g61510.MSUR7,129,68,932,402,1788,51,169,341,101,786,503,1875
LOC_Os01g61520.MSUR7,0,0,0,4,7,0,0,2,0,0,0,2
LOC_Os01g61530.MSUR7,0,0,0,4,0,0,1,6,4,0,0,0
LOC_Os01g61540.MSUR7,0,0,0,3,2,0,4,8,0,0,0,0
LOC_Os01g61550.MSUR7,0,2,7,12,764,6,7,12,12,6,48,4
LOC_Os01g61560.MSUR7,2521,428,7949,15846,8572,58,8103,5919,716,5390,6015,7577
LOC_Os01g61570.MSUR7,0,0,2819,7,4373,61,2,4269,1,1,5,11632
LOC_Os01g61580.MSUR7,3047,1497,15340,12379,17764,337,2263,14637,1756,9146,14818,21578
LOC_Os01g61590.MSUR7,363,487,10929,3669,15847,225,2436,24866,768,1750,3787,21459
LOC_Os01g61610.MSUR7,42,16,5496,158,11331,68,190,356,1202,12,172,6203
LOC_Os01g61620.MSUR7,181,223,2386,1512,2210,10,533,3475,943,462,1682,5425
LOC_Os01g61630.MSUR7,920,54,1815,1948,2016,10,11564,533,15,3105,518,2565
LOC_Os01g61640.MSUR7,1391,661,6314,9414,7965,102,6855,14159,1283,6081,7825,11965
LOC_Os01g61670.MSUR7,6734,1535,26183,41831,21491,315,24935,18514,313,29849,21166,31647
LOC_Os01g61680.MSUR7,384,486,2504,3000,3299,44,3048,1335,512,1586,4888,3209
LOC_Os01g61690.MSUR7,18,119,820,165,924,117,47,863,181,68,309,1318
LOC_Os01g61700.MSUR7,163,0,93,2934,1094,0,220,249,6,344,1,103
LOC_Os01g61710.MSUR7,2239,2010,13171,14606,17308,340,3703,10155,1465,11753,23201,35778
LOC_Os01g61720.MSUR7,2819,1450,17635,21706,22520,817,7061,20545,2734,13989,16651,25900
LOC_Os01g61730.MSUR7,0,0,6,2,8,0,0,0,0,0,5,7
LOC_Os01g61750.MSUR7,40,3,225,106,168,2,2,3,0,129,6,586
LOC_Os01g61760.MSUR7,422,76,4320,1366,4097,70,985,4851,598,1510,357,10180
LOC_Os01g61780.MSUR7,1585,1314,7911,10973,10648,313,6477,19154,2329,6718,14099,19997
LOC_Os01g61800.MSUR7,0,0,36,0,3,0,4,5,1,0,0,118
LOC_Os01g61810.MSUR7,1456,779,10205,9579,10689,169,9730,18892,1685,8361,11018,23847
LOC_Os01g61814.MSUR7,9639,3998,79236,32460,75133,1080,11624,27936,2382,32136,41619,103384
LOC_Os01g61830.MSUR7,1874,846,13445,11929,14246,262,10845,23688,1846,10560,12065,24654
LOC_Os01g61840.MSUR7,0,2,0,5,5,0,0,0,2,1,0,7
LOC_Os01g61860.MSUR7,449,515,6739,3551,8015,233,5491,24816,587,1398,3865,18709
LOC_Os01g61870.MSUR7,0,0,0,1,1,0,1,0,0,0,0,0
LOC_Os01g61880.MSUR7,18490,698,24670,50467,32125,331,54032,21392,739,29547,19323,55634
LOC_Os01g61890.MSUR7,18865,1821,32245,53343,41370,611,53253,22942,1049,33632,55887,67988
LOC_Os01g61900.MSUR7,54,43,241,1031,292,10,745,140,93,300,691,361
LOC_Os01g61910.MSUR7,134,198,4548,1163,3063,88,1045,3334,232,869,1612,7430
LOC_Os01g61920.MSUR7,2350,840,16685,36113,19879,386,27726,22392,1736,7488,8983,27826
LOC_Os01g61930.MSUR7,818,538,3691,5995,3635,70,6551,7892,1079,3240,4379,5350
LOC_Os01g61940.MSUR7,16,70,120,222,109,156,82,2075,58,102,332,1086
LOC_Os01g61950.MSUR7,0,0,0,1,0,0,0,2,0,0,0,1
LOC_Os01g61960.MSUR7,0,2,11,6,3,0,12,5,0,3,1,6
LOC_Os01g61970.MSUR7,3430,2864,21854,17672,27704,420,21064,53452,4199,13666,23764,53220
LOC_Os01g61980.MSUR7,0,49,18,4,23,0,8,451,64,10,816,76
LOC_Os01g61990.MSUR7,370,665,1952,5472,4792,86,2774,2456,2373,2634,9065,3066
LOC_Os01g62000.MSUR7,7,0,32,7,6,0,2,11,6,0,3,13
LOC_Os01g62010.MSUR7,38,26,159,936,265,8,0,0,2,72,298,261
LOC_Os01g62020.MSUR7,1612,1866,13621,11221,16629,276,8465,25425,2369,5123,14201,40628
LOC_Os01g62030.MSUR7,10,158,184,201,215,4,185,100,11,70,1141,80
LOC_Os01g62040.MSUR7,1350,799,13439,15802,14822,127,15058,20959,1014,6604,10263,20495
LOC_Os01g62050.MSUR7,0,0,7,4,25,0,22,8,0,3,4,11
LOC_Os01g62060.MSUR7,3616,2,48474,46185,61803,491,76347,74718,2,7311,58,20976
LOC_Os01g62070.MSUR7,6910,845,49211,60131,50807,311,5635,10019,903,55683,25814,42621
LOC_Os01g62080.MSUR7,3233,1072,15950,19435,21073,266,10077,27365,1779,14211,9688,27082
LOC_Os01g62090.MSUR7,0,0,0,0,11,0,37,79,7,0,0,0
LOC_Os01g62110.MSUR7,0,24,38,0,627,14,6,40,50,0,52,52
LOC_Os01g62120.MSUR7,8,20,45,0,0,0,2,2,0,48,174,148
LOC_Os01g62130.MSUR7,149,276,579,488,1835,62,64,706,852,1185,1970,2226
LOC_Os01g62170.MSUR7,0,0,2,0,0,0,404,12,6,2,2,0
LOC_Os01g62180.MSUR7,29,2,3,1,13,0,2,3,3,15,46,2
LOC_Os01g62190.MSUR7,44,154,602,62,344,27,32,425,1896,607,751,370
LOC_Os01g62200.MSUR7,49,2,922,1144,3397,25,256,719,14,82,6,7266
LOC_Os01g62210.MSUR7,784,273,7619,4126,9664,81,3625,3937,249,4107,7073,9180
LOC_Os01g62220.MSUR7,3,4,107,15,98,0,16,59,4,4,19,85
LOC_Os01g62230.MSUR7,1364,934,14768,7108,9956,410,2764,6947,1442,5505,4324,22105
LOC_Os01g62244.MSUR7,4749,1404,12236,27458,23608,254,21822,19720,3063,20515,22231,24217
LOC_Os01g62260.MSUR7,0,40,610,290,1876,38,158,4280,662,57,106,1288
LOC_Os01g62280.MSUR7,0,0,0,2,0,0,0,1,0,3,0,2
LOC_Os01g62290.MSUR7,304,484,17198,17995,10738,442,10986,66536,1391,13080,20519,63596
LOC_Os01g62300.MSUR7,782,774,10037,15555,11601,432,9153,14915,1886,4036,9850,18367
LOC_Os01g62310.MSUR7,0,0,562,2,120,0,0,10,0,4,2,739
LOC_Os01g62350.MSUR7,2766,866,30533,15178,43632,478,6428,33488,1646,12189,14748,41716
LOC_Os01g62360.MSUR7,15,209,447,403,442,10,40,9,48,138,3139,1228
LOC_Os01g62370.MSUR7,82,1648,4615,3477,4729,144,1112,1822,2400,386,17921,8935
LOC_Os01g62380.MSUR7,31,48,1748,440,2684,32,155,2862,48,93,494,4542
LOC_Os01g62390.MSUR7,1378,479,6544,8715,5679,61,5432,4255,469,5635,5880,7313
LOC_Os01g62400.MSUR7,2,0,27,0,4,0,4,7,0,6,7,34
LOC_Os01g62410.MSUR7,880,438,4248,4952,5735,112,1807,8218,1493,5065,5277,8328
LOC_Os01g62420.MSUR7,1240,1006,19666,5431,17765,1123,5500,15718,476,7401,19389,35945
LOC_Os01g62430.MSUR7,390,586,215,1012,927,32,4340,8440,1776,3569,1508,10533
LOC_Os01g62440.MSUR7,4528,601,8040,19005,10702,71,20005,4059,303,10254,4110,9190
LOC_Os01g62450.MSUR7,0,0,0,0,0,2,0,0,9,1,0,0
LOC_Os01g62460.MSUR7,3608,1524,6456,69271,9497,262,38150,10524,2444,24836,17768,5200
LOC_Os01g62480.MSUR7,2,26,42,78,181,26,42,448,169,2,8,1656
LOC_Os01g62490.MSUR7,64,86,957,96,999,24,118,7632,345,0,0,15688
LOC_Os01g62500.MSUR7,98,16,3332,675,755,48,1381,8657,114,382,178,8201
LOC_Os01g62510.MSUR7,6,0,20,197,89,0,89,61,0,2,0,45
LOC_Os01g62514.MSUR7,2,0,19,107,67,2,49,40,2,2,0,23
LOC_Os01g62530.MSUR7,0,0,0,4,5,0,0,33,0,0,0,5
LOC_Os01g62540.MSUR7,43,31,26,1312,279,2,4,14,16,30,242,27
LOC_Os01g62550.MSUR7,0,0,0,20,9,0,0,13,0,0,3,2
LOC_Os01g62560.MSUR7,0,0,2,17,2,0,2,0,0,1,7,8
LOC_Os01g62570.MSUR7,11,6,111,189,220,22,1782,1692,146,597,402,1099
LOC_Os01g62584.MSUR7,59,65,1041,831,859,24,10,310,55,858,1800,1459
LOC_Os01g62600.MSUR7,0,30,4,1,44,2,0,72,742,0,3,195
LOC_Os01g62605.MSUR7,0,0,72,1,24,0,3,30,4,0,2,36
LOC_Os01g62610.MSUR7,308,193,17193,4378,9159,112,2279,3423,132,4738,8249,9882
LOC_Os01g62620.MSUR7,524,377,5365,5474,7468,114,774,6426,330,2235,4229,9426
LOC_Os01g62630.MSUR7,85,4,3490,1701,6545,38,395,5156,52,340,61,3246
LOC_Os01g62640.MSUR7,0,0,29,31,96,0,1,54,0,10,0,60
LOC_Os01g62650.MSUR7,1613,1714,21263,12667,32275,341,13319,27669,3076,7377,18875,30616
LOC_Os01g62660.MSUR7,36,114,2020,162,2910,34,52,1458,402,344,1312,3505
LOC_Os01g62670.MSUR7,42,195,464,373,534,22,582,523,613,269,755,413
LOC_Os01g62690.MSUR7,0,2,1,3,0,0,0,0,0,0,1,2
LOC_Os01g62700.MSUR7,0,0,0,1,0,0,0,0,0,0,0,0
LOC_Os01g62720.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g62730.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g62740.MSUR7,0,0,18,1054,2,0,0,0,0,6912,39522,10658
LOC_Os01g62750.MSUR7,2,2,45,6610,0,16,69,31,0,0,2,7
LOC_Os01g62760.MSUR7,1960,214,10403,41495,14885,280,6078,5963,2042,11518,7450,10517
LOC_Os01g62770.MSUR7,126,10,454,4968,687,6,11,22,2,533,137,440
LOC_Os01g62780.MSUR7,108,200,801,3862,808,18,267,1184,197,879,1846,1447
LOC_Os01g62790.MSUR7,0,26,262,243,1555,6,264,3321,105,147,1586,1377
LOC_Os01g62800.MSUR7,508,200,3377,4064,4568,60,1588,6552,164,1414,1775,5581
LOC_Os01g62810.MSUR7,251,38,1145,16723,3991,135,481,7432,782,6771,1440,2056
LOC_Os01g62820.MSUR7,1858,766,6144,10097,10635,119,9883,14169,2198,8313,9016,10475
LOC_Os01g62830.MSUR7,55,351,74,487,261,25,699,61,511,298,1964,121
LOC_Os01g62840.MSUR7,7082,1436,19973,36063,38462,312,446,13006,837,20698,12567,18635
LOC_Os01g62850.MSUR7,484,734,3201,4068,2803,64,552,7265,1888,507,7759,7567
LOC_Os01g62860.MSUR7,192,209,8357,3781,2112,80,1495,2261,178,151,1166,8996
LOC_Os01g62870.MSUR7,3243,288,18422,80131,24047,202,9734,12329,1682,4425,1130,13514
LOC_Os01g62880.MSUR7,2537,636,9964,18412,8957,103,1225,5938,544,3081,10362,7701
LOC_Os01g62890.MSUR7,567,227,5661,5698,7099,108,943,7629,431,1691,3810,8552
LOC_Os01g62900.MSUR7,1347,28,5407,16855,13029,114,8582,40953,158,3972,230,22224
LOC_Os01g62910.MSUR7,1272,28,3896,11913,8626,44,7155,20684,100,3760,429,12521
LOC_Os01g62920.MSUR7,384,242,6885,5790,15958,88,2922,9230,362,887,8291,15884
LOC_Os01g62945.MSUR7,0,0,42,84,108,0,0,0,0,0,12,113
LOC_Os01g62950.MSUR7,159,118,10450,1129,2770,208,755,8906,223,295,667,9178
LOC_Os01g62960.MSUR7,0,0,2,540,251,3,0,0,0,1,0,10
LOC_Os01g62970.MSUR7,1405,25,5359,3010,4276,62,6495,1536,900,4009,275,1890
LOC_Os01g62980.MSUR7,1035,11,7493,2938,4161,73,6665,2624,725,2629,128,3967
LOC_Os01g62990.MSUR7,0,13,104,11,207,6,189,1860,33,4,15,985
LOC_Os01g63010.MSUR7,518,98,1029,2117,1581,12,658,379,186,1353,396,2376
LOC_Os01g63020.MSUR7,1,0,71,0,268,0,0,221,0,2,0,2359
LOC_Os01g63040.MSUR7,0,0,2,0,2,0,0,1,0,0,0,3
LOC_Os01g63050.MSUR7,714,240,3549,9649,4643,56,4048,7529,250,1779,3136,13019
LOC_Os01g63060.MSUR7,593,657,6043,5317,10193,161,1287,10932,1612,3315,9464,6458
LOC_Os01g63160.MSUR7,20,54,797,157,723,14,338,1320,52,32,479,1176
LOC_Os01g63190.MSUR7,36,163,3163,1123,3504,66,2546,3922,564,156,369,4087
LOC_Os01g63200.MSUR7,0,223,93,9,25,8,1,100,799,4,2884,2279
LOC_Os01g63210.MSUR7,1758,1180,6267,87621,16065,354,4278,9141,3478,7452,3094,2038
LOC_Os01g63220.MSUR7,632,271,3487,2231,3945,16,2339,1542,144,4015,1696,2630
LOC_Os01g63230.MSUR7,944,638,2356,6483,4594,38,10935,3217,1331,3634,3611,4542
LOC_Os01g63240.MSUR7,42,111,740,318,1732,23,201,538,128,21,766,1445
LOC_Os01g63250.MSUR7,604,532,7612,5938,13047,162,4177,18214,820,2264,7387,14924
LOC_Os01g63260.MSUR7,37,65,152,2047,5220,31,190,852,137,154,1674,594
LOC_Os01g63270.MSUR7,18239,901,99733,148670,65297,1542,131038,30188,654,34428,7490,248672
LOC_Os01g63280.MSUR7,269,443,759,3078,1407,10,1018,369,271,2050,3227,1334
LOC_Os01g63290.MSUR7,834,757,8475,5813,7846,84,4774,5596,612,2637,6168,11974
LOC_Os01g63310.MSUR7,0,13,77,7,96,19,4,102,66,1,2,106
LOC_Os01g63354.MSUR7,982,403,7014,6491,11104,128,3026,7766,797,5069,7100,9205
LOC_Os01g63370.MSUR7,0,0,4,5,4,0,2,14,0,1,1,3
LOC_Os01g63393.MSUR7,4,0,10,27,10,0,2,0,0,8,7,29
LOC_Os01g63400.MSUR7,11853,1489,16191,59790,16354,157,77047,8381,1542,33543,13189,13445
LOC_Os01g63410.MSUR7,12475,1426,16435,62821,16949,150,78201,7952,1559,34353,13053,13762
LOC_Os01g63420.MSUR7,2456,1782,20162,28176,41819,416,14962,26799,4490,8005,22731,41347
LOC_Os01g63430.MSUR7,197,25,803,1183,1710,8,302,347,43,516,537,1544
LOC_Os01g63444.MSUR7,40,63,579,821,805,18,186,383,19,305,370,1107
LOC_Os01g63460.MSUR7,416,207,1462,9306,1589,74,8150,5023,453,1312,1546,3515
LOC_Os01g63470.MSUR7,1927,1117,13193,18421,16639,277,18136,16172,981,5036,10817,32277
LOC_Os01g63480.MSUR7,290,520,6139,10306,9790,60,2020,1138,661,4514,11296,10738
LOC_Os01g63500.MSUR7,0,0,86,38,116,0,0,152,0,2,8,492
LOC_Os01g63510.MSUR7,0,2,7,0,66,2,0,470,20,0,2,216
LOC_Os01g63540.MSUR7,0,134,4,2,30,0,37,1456,94,0,528,125
LOC_Os01g63580.MSUR7,14,196,3825,128,5366,20,49,13874,91,73,1534,28101
LOC_Os01g63620.MSUR7,10309,36,22727,60535,15458,210,24633,4732,32,12080,814,23274
LOC_Os01g63670.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
LOC_Os01g63680.MSUR7,0,0,98,0,0,0,16,0,0,0,0,339
LOC_Os01g63690.MSUR7,101,1540,2058,156,3074,132,799,1274,6626,2199,7723,1201
LOC_Os01g63710.MSUR7,166,303,2155,2026,4038,18,22,311,60,688,2945,3249
LOC_Os01g63720.MSUR7,0,0,0,0,0,0,18,7,0,0,0,2
LOC_Os01g63730.MSUR7,0,0,2,0,0,0,2,4,0,0,0,0
LOC_Os01g63750.MSUR7,0,0,0,0,2,0,0,0,0,4,0,0
LOC_Os01g63770.MSUR7,960,631,10182,15596,27173,374,5779,11219,2304,2912,14501,25476
LOC_Os01g63780.MSUR7,886,257,4817,4447,3770,51,10586,8707,343,2763,2775,8377
LOC_Os01g63790.MSUR7,26,61,388,438,591,26,415,1085,72,172,617,619
LOC_Os01g63800.MSUR7,2073,536,10975,17693,22363,266,13636,20313,1636,6720,11569,22868
LOC_Os01g63810.MSUR7,2386,201,4451,16714,9395,95,7985,4355,198,7151,2367,14518
LOC_Os01g63820.MSUR7,2639,728,6852,18168,11452,157,9571,8081,777,9070,5767,17949
LOC_Os01g63830.MSUR7,851,136,2559,4206,3017,18,3029,1223,33,657,213,1533
LOC_Os01g63840.MSUR7,455,165,3113,2735,3755,48,1655,3912,126,1945,3074,4589
LOC_Os01g63854.MSUR7,260,665,2601,13254,7210,64,566,2304,467,1350,5142,2838
LOC_Os01g63870.MSUR7,289,71,2064,3110,2907,31,535,1222,18,188,93,2396
LOC_Os01g63880.MSUR7,27,16,633,354,666,22,518,331,20,164,98,2786
LOC_Os01g63890.MSUR7,4,2,147,4,28,0,16,1201,0,7350,9186,9590
LOC_Os01g63900.MSUR7,417,193,2240,7191,6222,65,567,589,55,6257,8153,8712
LOC_Os01g63910.MSUR7,725,623,2801,5442,2846,42,1091,1077,199,6087,5724,3184
LOC_Os01g63920.MSUR7,0,0,2,18,2,0,0,0,0,15,32,6
LOC_Os01g63930.MSUR7,267,108,959,2932,3063,23,1261,1912,311,1499,1116,2780
LOC_Os01g63940.MSUR7,1047,327,3598,7243,5186,27,4281,6773,413,3734,3555,6591
LOC_Os01g63950.MSUR7,285,333,2663,2100,2712,42,1108,1014,163,1152,3457,3684
LOC_Os01g63970.MSUR7,394,630,1255,2856,2088,46,3544,1367,622,3203,10477,2588
