/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra.uniq.bam
0	8	0
862	73	27
68	130	662
195	95	351
81	87	8
0	1	1
24643	4571	3257
324	102	32
16953	15798	4022
32	278	6
997	226	30
1	0	1
0	0	0
296	5191	90
342	2817	96
15227	15826	2030
0	0	0
11	4	14
0	0	0
67	2	960
25588	34486	5663
0	0	0
16	17	16
2013	657	6
2250	1544	126
16567	12040	311
532	1063	28
3994	3229	287
11515	20686	1952
7917	3245	438
0	0	0
8385	2106	890
0	0	0
6654	16350	273
10	19	6
0	4	0
83	1580	24
29980	7691	637
3188	1794	1693
2001	11756	1318
9421	4092	232
1264	2805	344
978	3457	215
458	815	99
14	591	2
4134	5299	787
1902	4197	445
121	99	20
0	0	0
7	6	4
112	148	36
3	9	5
5	4	1
3	0	1
0	0	0
1	1	1
203	318	49
0	0	0
4	0	0
0	0	0
0	0	0
1	0	0
0	2	1
0	0	0
0	4	0
0	6	0
0	0	0
19784	26074	2805
1165	4001	143
4	406	5
2	46	0
145	213	8
13300	30745	1496
236	8854	28
205362	216295	12955
31050	28728	4805
38	1004	0
8	139	0
145	2748	0
78	2118	0
0	2	0
76	3745	2
0	0	0
15	0	0
18990	3046	529
11	11	15
7320	3726	490
15	21	28
3206	2068	374
141	80	18
271585	76609	4853
1455	1676	690
7351	63767	1442
786	2674	172
890	4458	149
351	2161	58
39	252	12
133	509	8
0	1	0
48	12	2
7047	11322	1442
174506	24335	872
5587	1307	137
1544	829	43
2442	2668	711
7319	72175	38
17	33	9
304	571	34
778	156	248
2	27	0
2	33	0
3126	3297	385
392	251	6
50	34	6
13620	11107	1622
173	376	23
341	615	39
49758	17685	2117
5779	4142	248
0	10	0
0	761	0
0	0	0
108	20	22
4	0	0
2	0	0
0	0	0
0	0	0
3	44	0
6	85	0
107	478	0
23	110	33
96	124	359
165	0	40
81	21	52
1	2	35
4	155	11
5388	9675	1194
18358	22142	1674
19928	28166	2871
2951	478	184
0	46	0
2	184	0
0	77	0
0	261	0
0	8	0
0	9	0
0	109	0
2	8	2
0	7	0
4	64	0
22	139	0
38	92	16
812	2195	117
8988	9641	712
6910	4153	774
4714	4365	362
2012	298	102
0	0	0
0	0	0
0	2	0
11039	5483	765
13	336	112
0	0	0
49	9983	747
4118	5554	3043
2824	4702	6562
14	120	26
0	4	0
310	160	1037
3530	1859	838
78	14	0
0	11	0
300	349	45
1968	537	151
71	5	0
119	33	2
726	66	8
2	5	0
614	326	5
20	27	0
111	48	0
0	0	0
160	264	26
448	229	24
163	128	5
174	318	56
0	0	0
0	0	0
0	0	1
0	0	0
0	0	1
0	0	0
0	0	0
0	0	0
0	1	0
0	0	2
0	2	0
0	1	0
1	4	2
27830	5644	383
909	3606	437
97	720	200
1966	4599	997
109	260	517
246	2496	37
12	49	12
0	138	0
111	2896	29
4	26	0
0	36	0
10273	8614	706
480	811	58
40	1468	30
4712	5965	263
70	1527	161
0	0	0
1238	513	194
5004	18354	2371
32	400	19
625	685	58
96	128	8
290	5497	204
0	0	0
12834	8527	499
4293	6626	1063
3963	8891	442
28225	14620	1236
3720	9497	1389
899	4777	831
693	4886	291
0	0	0
2	4	46
0	0	0
2	1	0
0	1666	296
3520	7795	1275
1715	1137	142
0	2	0
9362	14098	2116
2764	794	284
521	624	76
0	10	1
210	7523	384
96	1760	245
20256	4586	153
188	170	8
198	344	28
256	2260	44
3213	11758	530
4	23	1
0	0	0
0	2	0
0	81	0
0	7	0
927	3460	179
3	6	0
3868	6074	500
18464	1253	88
7744	6333	1090
50771	26949	6199
1344	228	1495
1042	747	260
1344	181	18
50028	3307	63
18330	35641	1822
154	122	32
11669	3912	2388
2579	5380	1191
1024	302	72
30	278	5
7385	29869	425
654	1747	129
0	1	0
1318	406	41
2854	8594	678
24446	38214	1780
2782	1833	1645
161	3616	22
14	267	4
982	3085	113
627	3230	32
0	0	0
671	1023	515
819	535	197
28	681	27
134	174	42
280	49	16
73	28	18
44	634	109
134	38	34
62	36	41
0	23	0
12	1226	32
11151	17850	1641
60	413	280
0	0	0
278	43759	60
13140	15499	1504
924	1703	90
1412	1714	352
462	1518	31
200	3567	82
2386	22132	1309
1	2	0
1323	1983	304
280	1966	418
0	204	0
689	577	53
87	550	2098
0	0	0
4466	16093	1092
12974	39536	4432
6869	7923	1468
7117	13684	1680
1916	3163	174
9074	20594	1601
6613	2314	312
11	72	2
1	8	2
6670	9206	336
366	1233	49
513	1042	102
1910	1999	152
13460	105993	5031
1	20	0
5046	3684	442
92	73	4
2212	4835	10
0	8	0
0	0	0
0	0	0
978	1089	49
9925	39248	1294
180	1086	280
1408	1353	171
