baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ChrSy.fgenesh.mRNA.75,227.649380653761,4.46547484691026,0.852664275211218,5.23708448533755,1.63133029181117e-07,1.07224827065416e-05
ChrUn.fgenesh.mRNA.62,160.047441462566,-4.26418404836817,1.03988067277183,-4.10064746852334,4.11995788922217e-05,0.00164367384949729
ChrUn.fgenesh.mRNA.79,264.226081142231,-6.6264289567171,0.960131670202786,-6.90158356646808,5.14260045305488e-12,6.34606979437273e-10
LOC_Os01g01925.1,341.751264713877,4.67845873230831,0.960894711717831,4.8688567803068,1.12245718847902e-06,6.28383474125428e-05
LOC_Os01g02190.1,2411.91086058556,-4.48917226030295,1.00335964660357,-4.47414072860023,7.67192032906459e-06,0.000361672139258187
LOC_Os01g02430.1,297.198748043637,-4.23085901634051,1.04260864267665,-4.05795505922412,4.95042909888047e-05,0.00192021729021906
LOC_Os01g03310.1,12527.3578383378,3.43721472771007,0.670794294493604,5.12409654632631,2.98967771649048e-07,1.87686151708058e-05
LOC_Os01g03330.1,1285.25157761713,4.05771678765141,0.611122115281385,6.63978063661315,3.14150333920841e-11,3.57847081725034e-09
LOC_Os01g03340.1,22586.9220316931,3.23011607534454,0.690173947257581,4.68014779198704,2.86668190916574e-06,0.000149102996655657
LOC_Os01g03360.1,15356.1210060267,3.37422054837224,0.681164344656831,4.95360712115982,7.28502233463237e-07,4.22564866940173e-05
LOC_Os01g03390.1,62612.3391992873,5.92179970940604,0.591942161472316,10.0040174443344,1.46337095511568e-23,5.58165157940637e-21
LOC_Os01g03410.1,199.681560191823,-4.67282114048949,0.964449736606877,-4.84506445813277,1.26570579887522e-06,6.98747319756243e-05
LOC_Os01g03670.1,903.352718675181,-4.53152865531458,0.983908194557676,-4.60564174623199,4.11195778173839e-06,0.000207028850394964
LOC_Os01g04070.1,339.909039765044,2.84632148870508,0.804362788441724,3.53860413435982,0.000402248588592647,0.0116126215243478
LOC_Os01g04550.1,1761.13417386142,2.80232976196499,0.661253215680137,4.2379071972945,2.25612983481229e-05,0.000962640889179061
LOC_Os01g05090.1,2976.59990702561,4.76969057485529,0.849825281615876,5.61255434268336,1.9936157143344e-08,1.52544930068857e-06
LOC_Os01g05460.1,668.188438905708,3.50950705259329,0.760806692223291,4.61287615956364,3.9713494022829e-06,0.000201969191622363
LOC_Os01g05530.1,737.333635403137,-8.36985713235258,0.873443765537996,-9.58259416643404,9.46374715072405e-22,3.26356672290859e-19
LOC_Os01g06580.1,12387.7215705778,-2.51885039151076,0.580834452264747,-4.33660638016469,1.44699411225341e-05,0.000642444969697837
