baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ChrSy.fgenesh.mRNA.35,37.9496603259054,5.22076350189619,1.49570415409604,3.49050545029171,0.000482107779171787,0.00863911793462301
LOC_Os01g01660.1,99.9820300521556,4.92776135862832,1.18632826654581,4.15379241782403,3.27009851979553e-05,0.000877091334722643
LOC_Os01g02290.1,126.727413669537,-4.01044667342261,1.38344851331817,-2.89887670904619,0.00374502125458297,0.0455458151280084
LOC_Os01g02390.1,194.893725819476,-5.77284780728149,1.54762200418345,-3.7301406878919,0.000191372881052225,0.00396117102037489
LOC_Os01g02400.1,214.454318910839,-4.78142108829848,1.29454878949432,-3.69350396609324,0.000221185058852401,0.00444274491305684
LOC_Os01g02700.1,222.027959187281,-4.20223751552465,1.1748444930821,-3.57684573598371,0.000347765262079619,0.00654500068028163
LOC_Os01g02730.1,146.471717584211,-5.51047205720395,1.56167611504771,-3.52856267961529,0.000417822985374495,0.00769536478655197
LOC_Os01g02750.1,165.495604953655,-5.65421964146053,1.55041541466059,-3.64690623428711,0.000265416722525995,0.0052051512805197
LOC_Os01g03170.1,48.8484757253693,7.64534946869042,1.57533466106094,4.85315892404825,1.21510237805517e-06,4.65186886477325e-05
LOC_Os01g03310.1,154.116248568355,6.81189162763067,1.16654528755186,5.83937177606389,5.23980256822395e-09,3.02450047211195e-07
LOC_Os01g03620.1,1060.66391541053,4.83404645326517,1.03444619345225,4.6730767476001,2.96720824226872e-06,0.000106667087951606
LOC_Os01g03890.1,248.7005128156,3.98713817346688,1.08213211734799,3.68452068795283,0.000229133415631379,0.00458594457236852
LOC_Os01g04290.1,166.769200487455,7.8281688171428,1.15423969888995,6.78209978800009,1.18441614721398e-11,9.71655092784037e-10
LOC_Os01g04350.1,1631.69715970217,3.28465617499749,0.792719956081919,4.14352653770969,3.42005473500479e-05,0.000908606712279565
LOC_Os01g05064.1,1175.60833416481,-2.62880147436397,0.825544259959773,-3.18432530133765,0.00145091859950687,0.0213640847827455
LOC_Os01g05840.2,105.697519607973,5.84445201863745,1.29580049218725,4.51030236049093,6.47352894566903e-06,0.00021227108970308
LOC_Os01g06310.1,6638.76465298899,-5.30066815125559,1.30619288507545,-4.05810520928492,4.94724805387165e-05,0.00125196121372327
LOC_Os01g06620.1,2625.5299487366,10.8114393049526,0.924498938841818,11.6943771925761,1.36182586411884e-31,3.38882800586728e-28
LOC_Os01g06640.1,571.964886788095,-3.49691960011256,1.02232090345681,-3.42056940075108,0.000624901890966686,0.0106590272277913
LOC_Os01g07770.1,288.680817754625,-4.558605922065,1.15472709961172,-3.94777772479562,7.88799879310759e-05,0.00185957495758355
LOC_Os01g08020.1,239.867337839584,7.64178149671185,1.14498784680931,6.67411581529613,2.48727141118822e-11,1.97535214627558e-09
LOC_Os01g08090.1,471.660322663211,-3.73333364244396,0.998310905213914,-3.7396502662104,0.000184276463109307,0.00384986536175004
LOC_Os01g08170.1,103.851672150425,4.3846371633165,1.28728114631859,3.40612241222971,0.000658926273350187,0.0111713193171467
LOC_Os01g08300.1,353.307223597715,-3.86313476324804,1.23004125083136,-3.14065464116512,0.00168570686422432,0.0242317656811091
LOC_Os01g08380.1,461.351458268267,-3.84465803123697,1.07682568030387,-3.57036250301165,0.000356487541809172,0.00669228414615107
LOC_Os01g08860.1,78.2634829684895,4.56565632281529,1.22355269784773,3.7314750160303,0.000190361891942043,0.00394388985377798
LOC_Os01g09640.1,693.490135911704,-2.7502189915823,0.866938550558991,-3.17233440571883,0.00151218770870423,0.0221208072659307
LOC_Os01g09730.1,105.699440821353,7.69088042472996,1.32109416230013,5.82159897772885,5.82872703310178e-09,3.33862328985544e-07
LOC_Os01g10210.1,413.772837844635,4.47953780466191,1.01310003162033,4.42161451470636,9.79661203730243e-06,0.000307720789884187
LOC_Os01g10470.1,353.38363599486,11.7462517843942,1.34444608515442,8.73687083037258,2.39656248988738e-18,4.6672533498711e-16
LOC_Os01g10490.1,31.8995667342684,5.23978341074569,1.56578979421213,3.34641561090405,0.000818635934951933,0.0132952649740272
LOC_Os01g10580.1,432.795836960535,-3.59037627943345,1.03678134105099,-3.46300240684681,0.000534183617035054,0.0093392476870547
LOC_Os01g10890.1,377.683173052924,5.2684715462463,0.921590035894593,5.7167193014757,1.08600288549768e-08,5.99067010433646e-07
LOC_Os01g10900.1,94.0415162138193,4.09756645648448,1.31875534989717,3.10714679322742,0.00188902571823445,0.0266414483536389
LOC_Os01g11240.1,696.83037762678,3.94651932722261,0.837412279701657,4.71275550034761,2.44389363226808e-06,8.89974663223999e-05
LOC_Os01g11350.1,150.868848854276,4.84766668071887,1.2912128864967,3.75435122388803,0.000173791032897371,0.00364440446888532
LOC_Os01g11430.1,83.9530184960165,9.29574457856923,1.52714345300953,6.08701465487748,1.15035444642077e-09,7.46763425566366e-08
LOC_Os01g11520.1,147.326567968659,-3.62398957391662,1.22734553832031,-2.95270521688313,0.00315002613847545,0.0398794383959183
LOC_Os01g11550.1,70.9069798494904,4.83526209405832,1.45738565331765,3.31776430147445,0.000907410204759524,0.0142913916637091
LOC_Os01g11710.1,45.3734309324028,6.04159574822285,1.6173943143714,3.73538826898308,0.000187425782891454,0.00389622528882904
LOC_Os01g11790.1,140.838722416182,5.29008530971591,1.32759423224248,3.98471549607462,6.75610217463111e-05,0.00162175417259419
LOC_Os01g11860.1,34.0448687679511,5.0235487567922,1.52665676087937,3.29055547096165,0.000999897853813505,0.0155188581663252
LOC_Os01g12100.1,1733.741138907,-3.03525450547092,0.8041102510427,-3.77467455679749,0.00016021668846816,0.00338830307359104
LOC_Os01g12190.1,97.5054443620118,3.49821598221405,1.1362007872064,3.07887128895165,0.00207786431601513,0.028690412590305
LOC_Os01g12210.1,100.627205308883,4.66594732706207,1.17776581749312,3.96169362173675,7.44199967957033e-05,0.00176558289008111
LOC_Os01g12290.1,119.60391891018,-3.9531005310218,1.37926083774071,-2.86610075690771,0.0041556195957498,0.0495049236523471
LOC_Os01g12304.1,162.168417757593,-5.42446387650513,1.58674446883716,-3.41861212251801,0.000629413798390953,0.0107196588811892
LOC_Os01g12420.1,189.401760244419,-3.47627181873453,1.18565629942263,-2.93193889361306,0.00336853019294103,0.0418887297063339
LOC_Os01g12660.1,105.604298092184,5.65651539587257,1.25476051393372,4.508043832316,6.54280613257327e-06,0.000214229073311566
LOC_Os01g12680.1,254.861929838328,6.50537048591034,1.32456144761538,4.91133914370076,9.0456477159122e-07,3.54792165053537e-05
LOC_Os01g13120.1,220.612637811513,5.6834283305066,1.3608287816279,4.17644630039921,2.96098602467781e-05,0.000813671693358089
LOC_Os01g13130.1,304.794000969407,5.03724335637103,0.927055954706151,5.4335915009226,5.52309413183912e-08,2.71261438983923e-06
LOC_Os01g13440.1,463.340452637273,9.97755110566955,1.08024954996035,9.23633905335648,2.55075283192035e-20,6.56628280732049e-18
LOC_Os01g13610.1,994.856869453867,-6.32155253693547,1.3588140242104,-4.65225735406203,3.28320964999325e-06,0.000116346144495647
LOC_Os01g13740.1,168.593225290958,6.38139911929738,1.07242865511045,5.95041832283019,2.67458016252171e-09,1.60160153261594e-07
LOC_Os01g14410.1,1394.40262882229,6.41217340269508,0.809470491080943,7.92144182320032,2.34772098493886e-15,2.95390781902757e-13
LOC_Os01g14520.1,1221.07432460042,-3.24059715454904,0.914228394948471,-3.54462536107478,0.000393171487627124,0.00728326603548145
LOC_Os01g14650.1,204.276076190219,4.9040998901249,1.18543367894516,4.13696689846769,3.51926854482272e-05,0.000933857089216229
LOC_Os01g14850.1,25.3811451267027,6.44148464878391,1.76848124819318,3.64238221658557,0.00027012658687712,0.00526523502149693
LOC_Os01g14940.1,301.433300763285,7.21869164505675,0.987964331925985,7.3066318406296,2.73921728143029e-13,2.71449160331472e-11
LOC_Os01g15399.1,46.9346611973333,7.20633226660992,1.56314830644404,4.61013982928044,4.02398224160192e-06,0.000140176679211127
LOC_Os01g16170.1,282.823831839514,3.26995202132509,0.932378774061366,3.50710688863223,0.000453007142600892,0.00824841298023542
LOC_Os01g16250.1,78.9446186797895,6.02058776663555,1.40462230906864,4.28626807915901,1.81699704738402e-05,0.00052037680144773
LOC_Os01g16470.1,136.667704528399,10.2192417029206,1.44959892482505,7.04970287154009,1.79300244564182e-12,1.54446472202285e-10
LOC_Os01g16650.1,168.041560497505,3.87123413730619,1.33845796076559,2.89230909806974,0.00382421506991502,0.0463458445377796
LOC_Os01g17396.2,1206.49508642369,3.10274909346123,0.798225438778423,3.88705864625108,0.000101466246361263,0.00230003851569519
LOC_Os01g19220.1,474.422157589041,4.78859796975717,1.49742273388393,3.1978931943532,0.00138435542823343,0.0205970685238736
LOC_Os01g19480.1,70.2277653515699,4.50302978754796,1.26173168661411,3.56892819235755,0.000358444644835629,0.00671776256547175
LOC_Os01g20000.1,80.0482269380622,9.19864467856967,1.53565755716117,5.99003640862119,2.09794066305862e-09,1.28727339972222e-07
LOC_Os01g20160.1,222.612247687442,-3.64699895698299,1.21913993510658,-2.99145229514949,0.00277653915981698,0.0361531226879425
LOC_Os01g20970.1,673.653706248991,11.6033338150039,1.15408739470975,10.0541205702382,8.81045395277268e-24,4.81265674942188e-21
LOC_Os01g21120.1,1308.99260681001,6.16029422259894,0.832768826311651,7.39736410389303,1.38914276313607e-13,1.41414733287252e-11
LOC_Os01g21250.1,482.108830245524,2.93994047583733,0.961775865749724,3.05678337389511,0.00223725897662235,0.0305522268539233
LOC_Os01g21970.1,1292.25045292666,6.61344746719837,0.880418960100773,7.51170495742322,5.8362207352766e-14,6.19469192356657e-12
LOC_Os01g22370.1,470.281606327171,-3.52797279424995,1.02574604083573,-3.43942131268235,0.000582959225005262,0.00999690260583296
LOC_Os01g22670.1,390.8181630088,-5.41370927477968,1.64452279434163,-3.29196365864118,0.000994904671117586,0.0154735312599649
LOC_Os01g23580.1,316.762929118573,-3.89316926405111,1.06314381948439,-3.66194036281868,0.000250312138043181,0.00495666723573394
LOC_Os01g23880.1,599.578410400684,10.6699131529318,1.09634593791162,9.73225036365479,2.19678367746959e-22,8.48261504148431e-20
LOC_Os01g24030.1,482.859057422408,9.15775894228815,1.07166670787014,8.54534238586969,1.28155756362261e-17,2.22494288332497e-15
LOC_Os01g24240.1,85.9054142749936,9.3421430049289,1.52309195575155,6.13366971682228,8.58747124348248e-10,5.62353818622906e-08
LOC_Os01g24490.1,195.952270960097,-5.83411462257997,1.53828319381385,-3.79261415976046,0.000149069683064256,0.00321015829029526
LOC_Os01g24550.1,644.004890210707,3.69718396413892,0.855794415461994,4.32017771714836,1.55903593709661e-05,0.000457616891837691
LOC_Os01g24780.1,37.4427510590354,5.62301104528882,1.59723180590007,3.52047274823715,0.000430778256794792,0.00788856078428141
LOC_Os01g24810.1,19.5239577897713,5.72405835324557,1.81489840336151,3.15392770341502,0.0016108898725137,0.02327579973214
LOC_Os01g25460.1,155.759994339803,6.84023898774564,1.33110740676113,5.1387581144856,2.76560119459751e-07,1.1797791305563e-05
LOC_Os01g25484.1,1247.00563786978,-3.15927639899736,1.08965278447275,-2.89934228959552,0.00373946415735979,0.0455458151280084
LOC_Os01g25740.1,155.75768360965,-4.35994466545609,1.32219928064059,-3.2974943560276,0.000975516351786573,0.0152142508458301
LOC_Os01g26950.1,29.2859366846569,6.82399112632446,1.73999797150821,3.92183855272515,8.78758672533221e-05,0.00202893600309835
LOC_Os01g27190.1,796.616059073609,12.2616478297997,1.19300245408446,10.2779736854855,8.85700900007834e-25,6.19879917392983e-22
LOC_Os01g27360.1,127.117311698494,5.37566351039944,1.10855545397848,4.84925087969823,1.23928601216525e-06,4.72828782426795e-05
LOC_Os01g27770.1,27.5264471603853,5.52604972061844,1.68200865304983,3.28538721284137,0.00101842306893742,0.0157845003819533
LOC_Os01g28500.1,164.495527478298,6.46494307210406,1.08388038352749,5.96462780428216,2.45192291868982e-09,1.48014193226353e-07
LOC_Os01g29240.1,23.4287493477255,6.22441354105841,1.78358902347877,3.48982498721489,0.000483336969641125,0.00863911793462301
LOC_Os01g33300.1,171.810828549987,10.6165576803078,1.41886052253343,7.48245335725565,7.29477887793732e-14,7.59878454652485e-12
LOC_Os01g33670.1,326.281582594827,9.608066989572,1.13976695452711,8.42985221795487,3.46102021576507e-17,5.49737650725352e-15
LOC_Os01g36720.1,68.3338522641995,8.86634253173944,1.56506967557104,5.66514237042157,1.46902512037555e-08,7.90872273940643e-07
LOC_Os01g37050.1,565.684217821478,-3.9598429004217,1.02503826233419,-3.86311715955312,0.00011194928222562,0.00250397988525129
LOC_Os01g37910.1,5826.15749549634,-2.41827239712969,0.834316315740612,-2.89850785787764,0.00374942913277295,0.0455458151280084
LOC_Os01g37950.1,382.342030597282,2.66885208077032,0.884276190926366,3.01812047882284,0.00254347764328775,0.0337830455732928
LOC_Os01g38110.1,151.920671310476,-3.64019716928721,1.24416440912481,-2.92581683143296,0.00343553149088514,0.0425533620616124
LOC_Os01g38610.1,71.3772290787987,6.1731614426325,1.38197673973843,4.46690690597363,7.93586423769742e-06,0.000253902307810673
LOC_Os01g39330.1,411.520532698797,-3.07082459237712,0.977114289309408,-3.14274862825666,0.00167369504723814,0.0240863586240813
LOC_Os01g39970.1,1253.36262599102,6.63453634209074,1.20297152291099,5.51512335556893,3.48535408085993e-08,1.77808633245875e-06
LOC_Os01g40310.1,676.003887748494,4.48300506094,1.18439290175638,3.78506579555819,0.000153667917089499,0.0032807880563741
LOC_Os01g40580.1,540.121206685034,-4.09546810947536,1.0340093565974,-3.9607650388699,7.47100183297149e-05,0.00176871624789883
LOC_Os01g41050.1,54.5314366178706,4.10204000820179,1.33705964139379,3.06795589456705,0.0021552842601203,0.0296133412819964
LOC_Os01g41140.1,3246.87276168991,14.1416618697591,1.14152261088714,12.3884202861027,3.01932468733273e-35,1.6905198924376e-31
LOC_Os01g41170.1,956.673931698793,13.1369355187156,1.27762691003791,10.2822940057875,8.46875064395892e-25,6.11826256200335e-22
LOC_Os01g41180.1,17.6101432617353,5.40446969703211,1.79808937286636,3.00567356583436,0.00264993311926833,0.0348117098778273
LOC_Os01g41550.1,200.834548591044,3.71187548862354,1.12351486346959,3.30380630404896,0.000953817086567854,0.0149486966205554
LOC_Os01g41800.1,1389.71986443345,-5.04069949768466,1.11629641538613,-4.5155564670886,6.31507158896513e-06,0.00020809539445907
LOC_Os01g41810.1,345.625316058022,-4.71436034994922,1.20599088255159,-3.90911773725417,9.263381135236e-05,0.00211912853835286
LOC_Os01g41900.1,875.395005470984,-2.53908664445294,0.881322488860857,-2.88099609001786,0.0039642055818365,0.0475789647431995
LOC_Os01g42024.1,135.325334546465,6.08350449751623,1.11507358416711,5.45569779779171,4.87808957813903e-08,2.41169302852101e-06
LOC_Os01g42090.1,169.425953797756,5.44892584434811,1.38490800437194,3.93450382779701,8.33687402361308e-05,0.00194695131004003
LOC_Os01g42410.1,2233.83471245984,-2.5127656644531,0.791816234517407,-3.17342023933693,0.00150654289540461,0.0221208072659307
LOC_Os01g42520.1,2718.60845899786,4.96504904607914,1.41312433995716,3.51352595499817,0.000442201209380033,0.00807792682322612
LOC_Os01g42860.1,948.266922295841,-4.10931299855547,0.94741543969968,-4.33739289688807,1.4418275354335e-05,0.00042801322486418
LOC_Os01g43230.1,655.634417245923,8.45284382143309,1.12254988084903,7.53003850041824,5.07253639977438e-14,5.46175601968014e-12
LOC_Os01g43320.1,174.823381749733,-3.81359688301727,1.24923989903961,-3.05273381513758,0.00226766991960634,0.0308246476027026
LOC_Os01g43330.1,698.440581751713,2.65224228716378,0.840452723203104,3.15573049374585,0.00160096714865129,0.0232373689314286
LOC_Os01g43680.3,2066.96140025286,-2.36078160444677,0.797133733240287,-2.96158788168502,0.00306057136862599,0.0389679115245865
LOC_Os01g43720.1,366.415383182393,-3.03718595986723,1.012784041047,-2.99884855682307,0.00271001975206226,0.0354152495572048
LOC_Os01g44069.1,72.2386438221537,8.98478602720243,1.55454784164598,5.77967804303096,7.48437123970089e-09,4.21155724332515e-07
LOC_Os01g45090.1,72.6630375825059,6.6166104413065,1.40974705421968,4.69347350044217,2.68604798840722e-06,9.71837330345205e-05
LOC_Os01g45140.1,143.226331851827,-5.00748182458582,1.63951462258391,-3.05424651638295,0.00225626596055143,0.0307181352294892
LOC_Os01g45350.1,33.1907282426112,7.15146382128993,1.71403655796496,4.1722936351957,3.01548674650617e-05,0.000817613089282714
LOC_Os01g45550.1,69.033667785775,6.59705028681956,1.35498775821537,4.86871578493697,1.12325822484195e-06,4.34190606650642e-05
LOC_Os01g46169.1,1262.94199224444,-3.43611798237325,1.10671227929973,-3.10479791960694,0.00190409065051705,0.0268201347226288
LOC_Os01g46350.1,186.961433665961,3.42048715224796,1.02589066334159,3.3341634488675,0.000855563666488931,0.0137406212714591
LOC_Os01g46850.1,247.954263930095,11.2109728401253,1.37717290111499,8.14057031695051,3.93420266808295e-16,5.4055461935206e-14
LOC_Os01g47070.1,1578.08469436012,-3.35425205213098,0.928026460822184,-3.61439268569916,0.00030105247923545,0.00578744319738811
LOC_Os01g47370.1,58.6104546202549,8.0151782911748,1.5335806659085,5.22644714383286,1.72798186209687e-07,7.63311277781491e-06
LOC_Os01g47400.1,1001.90019015743,6.28550052258828,1.15528908983277,5.44063003615667,5.30924694511648e-08,2.61907256790372e-06
LOC_Os01g47630.1,89.0977630887218,6.15589152306626,1.2590277722127,4.8894009003848,1.01143324577142e-06,3.93948851692117e-05
LOC_Os01g47690.1,6213.03573543739,4.66542916529099,0.774222562959942,6.02595350289782,1.6811551356679e-09,1.04877856318714e-07
LOC_Os01g48410.1,683.377103892936,12.0482761577919,1.2015650986094,10.0271522298173,1.15808557425006e-23,6.03174058625684e-21
LOC_Os01g48470.1,142.04655742312,5.0190958988261,1.15284226523529,4.35367096625462,1.33876598064792e-05,0.000401378887584885
LOC_Os01g48610.1,169.8598427796,-3.80615610504955,1.22271063471535,-3.11288378213513,0.00185268958084347,0.0261619393774087
LOC_Os01g50200.1,1575.33572542697,6.9757080144322,1.00082957161455,6.96992596169887,3.17107825543348e-12,2.64998017196598e-10
LOC_Os01g50460.1,288.190924070797,6.91367138834599,0.990633543123788,6.97904026805406,2.97203292096163e-12,2.49295796203384e-10
LOC_Os01g50622.1,894.66805562379,-4.60373775788834,0.989077928915549,-4.65457536084745,3.24649082362107e-06,0.00011541017219971
LOC_Os01g50760.1,949.803782960954,2.66149068939717,0.911813706316917,2.91889743591123,0.00351271777492577,0.043320940136144
LOC_Os01g50810.1,176.261110625753,8.76511627690948,1.22722976633461,7.14219661008422,9.18510886984085e-13,8.39631421424309e-11
LOC_Os01g50910.1,135.902132097202,5.19566066700407,1.11464685222835,4.66126168715873,3.14276824087953e-06,0.00011225747611282
LOC_Os01g51270.1,253.850032517968,10.5944027322992,1.28327705776963,8.25574077566121,1.5096295950634e-16,2.13985217791391e-14
LOC_Os01g51610.1,41.0003113585197,7.68608280782642,1.66927843361661,4.6044342591631,4.13588638008706e-06,0.000142284656479923
LOC_Os01g51770.1,356.919373640299,6.52001147984669,1.05527100478146,6.17851855144732,6.47058865623178e-10,4.31295546264782e-08
LOC_Os01g52230.1,204.083869518503,4.32270019156629,1.05658507493101,4.09119936872904,4.29147998679974e-05,0.00110346711577918
LOC_Os01g52260.1,1243.50816711755,3.01603058427126,0.802392101576455,3.75879894423897,0.00017073096153419,0.00358695179598473
LOC_Os01g52680.1,86.6052297965691,7.00108969158777,1.30182014273415,5.37792392494688,7.53496399795408e-08,3.56771783717082e-06
LOC_Os01g52770.1,17.5715620107941,5.43212726137027,1.83046755747881,2.96761733862806,0.00300117706317156,0.038386271562987
LOC_Os01g52900.1,147.090917693919,8.02051789203071,1.20636364008917,6.64850765183691,2.96079591405521e-11,2.31853095423708e-09
LOC_Os01g53420.1,147.038717072612,-4.2434076902305,1.35169035721459,-3.13933414378633,0.00169332240231179,0.0243256244529666
LOC_Os01g53430.1,69.6123865498916,5.70644128981407,1.3211004845217,4.31946044731039,1.56411137533298e-05,0.000458505737721955
LOC_Os01g53880.1,566.169376733556,-2.65085902606342,0.906069731974297,-2.92566778528986,0.00343717770894163,0.0425533620616124
LOC_Os01g54210.1,62.629068717653,4.94976762795393,1.45544758077451,3.40085599326081,0.000671752055809045,0.0113202099638069
LOC_Os01g55440.1,166.10796621682,8.93977801704366,1.25622648026799,7.11637444160272,1.10803020575192e-12,1.00062276161371e-10
LOC_Os01g55520.1,160.748492715364,5.51404956955391,1.20875926631286,4.56174337043445,5.07306294040548e-06,0.000171366994891887
LOC_Os01g55795.1,33.1907282426112,7.15146382128993,1.71403655796496,4.1722936351957,3.01548674650617e-05,0.000817613089282714
LOC_Os01g56030.1,3435.24964454967,-3.89834303675215,0.789934705090441,-4.93501932707948,8.0142823245549e-07,3.19942721819486e-05
LOC_Os01g56680.2,3723.41211219537,3.71697997644389,1.11724394043292,3.32691889562059,0.000878119272910297,0.0139181594027594
LOC_Os01g56764.1,62.4766649272681,8.67128331291225,1.58244831668776,5.47966288786115,4.26136978452993e-08,2.13507019450408e-06
LOC_Os01g57610.1,126.358313902323,5.86087418404986,1.60289553271961,3.65642929586671,0.000255752910471247,0.00505546529824717
LOC_Os01g57690.1,103.902880624016,4.48583816810099,1.52715463978056,2.93738305948215,0.0033099497820239,0.0413900811380275
LOC_Os01g57940.1,370.955198005654,11.8176597260678,1.34037367973698,8.81669037875079,1.17892664845742e-18,2.3786703800768e-16
LOC_Os01g57945.1,316.612014220843,6.94387414339582,1.23601960287984,5.61793205157674,1.93256465659257e-08,1.01839336585994e-06
LOC_Os01g58048.1,261.162368281476,3.85170094453001,0.952970818509655,4.04178267552165,5.30463844155217e-05,0.00132444462137127
LOC_Os01g58240.1,1420.51090381722,-3.54901356226923,0.837049145580247,-4.23991062055148,2.23608803813242e-05,0.0006275617506518
LOC_Os01g58270.1,228.420197152925,-5.310484821061,1.62945180102532,-3.25906223045041,0.00111781145632012,0.0171000719779681
LOC_Os01g58790.2,852.720625233753,-2.91901346540549,0.875512548599338,-3.33406239587929,0.000855874561246894,0.0137406212714591
LOC_Os01g58890.1,13620.5883108474,-2.81618554303772,0.761623554481051,-3.69760825603219,0.000217640413623854,0.00438728596176403
LOC_Os01g58970.1,2750.74581672307,-6.22618785163261,1.03839636816052,-5.99596458784042,2.02281101621779e-09,1.24801309970285e-07
LOC_Os01g59360.1,570.176729963204,11.3662882265303,1.16473299322895,9.75870718233872,1.69299568291779e-22,6.98793143013064e-20
LOC_Os01g59530.1,1092.1379637061,4.80147863423282,0.902064348085764,5.3227673218899,1.02200435442322e-07,4.71934216941494e-06
LOC_Os01g59870.1,27.410703407562,6.10262489033509,1.6965085261271,3.59716723868554,0.000321701656943387,0.00611615476137869
LOC_Os01g60060.1,301.651815475551,-5.92345031839928,1.56548862347325,-3.78377091317171,0.000154470013541822,0.00329163693937454
LOC_Os01g60080.1,308.478533078386,11.5435096231638,1.35643086563463,8.51020860378537,1.73620709232275e-17,2.92361609320755e-15
LOC_Os01g60140.1,50.7622902534053,8.19967478021492,1.62441067713837,5.04778434149412,4.46963264081819e-07,1.84010832028978e-05
LOC_Os01g60740.1,177.70659713786,10.0250396197164,1.32804074536776,7.54874400855849,4.39475709997161e-14,4.77791165101768e-12
LOC_Os01g60770.1,797.109565418276,4.15451940625212,1.12879194228964,3.68050058704803,0.000232776523363573,0.0046340115708894
LOC_Os01g60830.1,510.379619254638,4.82878926783339,1.13544885210657,4.25275806908842,2.11153659981575e-05,0.000595591608179767
LOC_Os01g60930.1,598.261267927071,-4.09872507675727,0.944033043630696,-4.34171780787865,1.41373035469997e-05,0.000420476826346089
LOC_Os01g61190.1,293.937077773861,-3.0557967716265,1.04401722599445,-2.92696010711489,0.00342292783213264,0.0424238471103722
LOC_Os01g61440.1,303.682452780125,-3.25558845048487,1.12108880015011,-2.90395234529946,0.0036848424235145,0.045096027823514
LOC_Os01g61570.1,66.5357814889868,7.37962692119233,1.45086291331008,5.08637091312509,3.64979934609297e-07,1.5250169058787e-05
LOC_Os01g61940.1,176.047370247478,3.37768880580131,1.0690891791492,3.15940790691504,0.00158090054516268,0.0229908107853659
LOC_Os01g62060.1,482.0694521763,8.18733169424391,1.00728854817111,8.12808972077497,4.36108386657206e-16,5.95553867535048e-14
LOC_Os01g62200.1,24.0128211164777,4.82661200601467,1.65840485298795,2.91039428479635,0.00360973058913158,0.0443221087029555
LOC_Os01g62450.1,373.114115792463,5.14476081094615,0.968704673545523,5.31096932991557,1.09043682255852e-07,5.01466592977835e-06
