IDENTIFIER	log2FoldChange
loc_os01g37280.1|pacid:24114781	3.59707529488795
loc_os01g37320.1|pacid:24115309	-3.73583355772977
loc_os01g37470.1|pacid:24120745	-1.35970733992592
loc_os01g37650.1|pacid:24119755	-1.91019001231679
loc_os01g38130.1|pacid:24118201	3.94226226951583
loc_os01g38890.1|pacid:24116285	3.68098125924052
loc_os01g39060.1|pacid:24119865	-4.81590490970886
loc_os01g39080.1|pacid:24116544	4.93319350802402
loc_os01g40000.1|pacid:24117093	-1.16139205838328
loc_os01g40499.2|pacid:24121144	-2.61661292448834
loc_os01g40750.1|pacid:24117659	-3.31383250770606
loc_os01g41790.1|pacid:24121385	6.13035003927741
loc_os01g42000.1|pacid:24116432	-3.30878542056788
loc_os01g42420.1|pacid:24121387	-3.96093887890513
loc_os01g43350.1|pacid:24117078	-1.33091298717648
loc_os01g43400.1|pacid:24114591	5.33188722266744
loc_os01g44050.1|pacid:24120462	-1.37713534474951
loc_os01g44980.1|pacid:24116673	-8.35709007568855
loc_os01g45060.1|pacid:24117125	-4.01207985735756
loc_os01g45070.1|pacid:24119654	1.52614328774421
loc_os01g45670.1|pacid:24120084	7.75412181846302
loc_os01g46090.1|pacid:24120832	-3.55768108741587
loc_os01g46169.1|pacid:24114761	2.91334116709165
loc_os01g46690.1|pacid:24120313	-4.11659791910259
loc_os01g46800.1|pacid:24118091	-2.14496550963989
loc_os01g46910.1|pacid:24117669	-3.71905802912472
loc_os01g47670.1|pacid:24115807	-3.40293751203263
loc_os01g47750.1|pacid:24117065	-2.87910839439243
loc_os01g47930.1|pacid:24114358	2.11720467340957
loc_os01g49260.1|pacid:24116780	-3.63765282181603
loc_os01g50970.1|pacid:24121584	4.14180595143361
loc_os01g50980.1|pacid:24116139	3.18816925406387
loc_os01g50990.1|pacid:24117722	7.42768670271994
loc_os01g51000.1|pacid:24114556	-3.41462021335756
loc_os01g51020.1|pacid:24116344	2.3359948697395
loc_os01g51330.1|pacid:24121561	-1.97309931249715
loc_os01g51370.1|pacid:24117901	11.8310183910567
loc_os01g51520.1|pacid:24120631	4.49154316897196
loc_os01g51670.1|pacid:24119042	9.57868794123662
loc_os01g52060.1|pacid:24119817	2.62958545084829
loc_os01g52370.1|pacid:24116174	5.89874256462058
loc_os01g52514.1|pacid:24114596	-3.77719617263808
loc_os01g52960.1|pacid:24118057	-3.72386531571479
loc_os01g53630.1|pacid:24119395	-1.76219163723329
loc_os01g54000.1|pacid:24113703	5.90943612238826
loc_os01g54040.2|pacid:24117681	-1.57231241663356
loc_os01g54540.1|pacid:24113666	1.24674084903062
loc_os01g55270.1|pacid:24120244	-1.67929982048582
loc_os01g56090.1|pacid:24116669	-1.698802966956
loc_os01g56350.3|pacid:24117941	1.55191825371093
loc_os01g56420.1|pacid:24115744	2.36900181064081
loc_os01g56900.1|pacid:24115920	-4.28840494271884
loc_os01g57040.1|pacid:24118398	3.51725486726022
loc_os01g57250.1|pacid:24116036	4.08583791098028
loc_os01g57280.1|pacid:24121272	2.14721488148886
loc_os01g57510.1|pacid:24115166	-2.28201836434963
loc_os01g58000.1|pacid:24116897	1.67074530842074
loc_os01g58010.1|pacid:24119098	2.16427557805504
loc_os01g58035.1|pacid:24121451	-5.81947527227724
loc_os01g58330.1|pacid:24119463	-5.54274521283569
loc_os01g59250.1|pacid:24121224	-4.50109291353102
loc_os01g59340.1|pacid:24118527	-1.10509520233591
loc_os01g59450.1|pacid:24113943	-3.98588662090146
loc_os01g59640.1|pacid:24116937	-4.49698561486786
loc_os01g59760.1|pacid:24115305	-1.22149007099382
loc_os01g60490.1|pacid:24121375	-3.47891925846143
loc_os01g60770.1|pacid:24114866	2.40346191778804
loc_os01g60870.1|pacid:24119059	6.28783720581505
loc_os01g61870.1|pacid:24115507	6.42103432634405
loc_os01g62430.1|pacid:24113736	-2.02633638653893
loc_os01g62570.1|pacid:24120131	-2.26192499190346
loc_os01g62740.1|pacid:24116372	-4.19721325470913
loc_os01g62960.1|pacid:24114270	2.60113670782552
loc_os01g63870.1|pacid:24114045	1.90779035153066
loc_os01g63890.1|pacid:24120378	-5.45340893177629
loc_os01g64220.1|pacid:24118236	5.70035996282069
loc_os01g64949.1|pacid:24114967	4.19535715205759
loc_os01g65120.1|pacid:24121022	-3.65772196498125
loc_os01g65690.1|pacid:24114064	-5.82704869689172
loc_os01g65692.1|pacid:24115862	5.79522130162394
loc_os01g65700.1|pacid:24117898	-3.48616108495515
loc_os01g65710.1|pacid:24119962	-2.77565529581907
loc_os01g65810.1|pacid:24117636	3.98836473835704
loc_os01g67314.1|pacid:24121507	4.37742293400063
loc_os01g67550.1|pacid:24118643	1.17841650052763
loc_os01g67830.1|pacid:24117967	-4.82934689691974
loc_os01g68000.1|pacid:24116952	-4.86119910821136
loc_os01g68440.1|pacid:24116017	-1.82676682374502
loc_os01g69904.1|pacid:24114514	4.51562841631786
loc_os01g70150.1|pacid:24121271	-3.38010071068812
loc_os01g71860.1|pacid:24114616	3.39711715829042
loc_os01g72160.1|pacid:24120496	-2.45969853948972
loc_os01g72280.1|pacid:24116310	-3.70594124058163
loc_os01g72630.1|pacid:24121421	-7.59881034820474
loc_os01g72680.1|pacid:24115610	3.3069106841505
loc_os01g73644.1|pacid:24116819	-5.23350350227046
loc_os01g73800.1|pacid:24121538	-10.4842119029093
loc_os01g73860.1|pacid:24118997	-3.82386896910106
loc_os01g74490.1|pacid:24117841	1.49443756916393
loc_os01g74650.1|pacid:24115224	1.02444667323601
loc_os01g74670.1|pacid:24120933	4.67647161503826
loc_os02g01160.1|pacid:24133335	-5.467698168886
loc_os02g01365.1|pacid:24133510	-3.58635812530172
loc_os02g01520.1|pacid:24128745	2.37450643832406
loc_os02g01550.1|pacid:24132052	-2.14126412398364
loc_os02g01870.1|pacid:24129784	4.2586775230053
loc_os02g02130.1|pacid:24129356	-1.64417761203961
loc_os02g02524.1|pacid:24132712	-1.07407819245755
loc_os02g02630.1|pacid:24132983	3.28129454076762
loc_os02g02670.1|pacid:24135280	-3.05385352762528
loc_os02g03720.1|pacid:24132456	1.05401996450413
loc_os02g04780.1|pacid:24133160	3.53810267632503
loc_os02g04790.1|pacid:24132563	-4.33927007062617
loc_os02g05190.1|pacid:24134600	-2.75666331774761
loc_os02g05360.1|pacid:24131394	-2.82904842592005
loc_os02g05410.1|pacid:24133314	-3.73918645492581
loc_os02g05430.1|pacid:24133275	-3.56788059496211
loc_os02g05760.1|pacid:24135003	-4.87107784996827
loc_os02g05810.2|pacid:24132299	2.35570615176281
loc_os02g05930.1|pacid:24134391	1.18701738972587
loc_os02g06120.1|pacid:24133290	-5.06324978192929
loc_os02g06170.2|pacid:24135126	4.87087728769121
loc_os02g06940.1|pacid:24133458	-4.22739367694157
loc_os02g06980.1|pacid:24134458	-4.1143031692268
loc_os02g07310.1|pacid:24134644	-2.70470210827339
loc_os02g07654.1|pacid:24133943	4.67101885963105
loc_os02g08040.1|pacid:24132940	4.64146055522291
loc_os02g08270.1|pacid:24131140	-2.51665543573776
loc_os02g10170.1|pacid:24131492	6.60851993482056
loc_os02g11940.1|pacid:24130689	-1.62585158210709
loc_os02g12000.1|pacid:24129454	5.92386017822827
loc_os02g12470.1|pacid:24131967	-3.35548868220103
loc_os02g13410.1|pacid:24131066	3.13173146924778
loc_os02g13900.1|pacid:24128986	-1.09219637911392
loc_os02g14670.1|pacid:24131536	4.85759109767556
loc_os02g14710.1|pacid:24134528	-2.72476465410808
loc_os02g14800.2|pacid:24132665	1.36183178015603
loc_os02g15510.1|pacid:24131734	-3.23668008138503
loc_os02g15530.1|pacid:24134979	-2.3292616455925
loc_os02g15680.1|pacid:24130545	4.83343312912178
loc_os02g17360.1|pacid:24133003	1.03466747829197
loc_os02g17460.1|pacid:24129640	-1.07121027252335
loc_os02g17620.1|pacid:24129038	3.33288900756542
loc_os02g18140.1|pacid:24130801	6.74420989474374
loc_os02g18150.3|pacid:24132201	3.00668091972113
loc_os02g18870.1|pacid:24135331	-2.88437125576713
