IDENTIFIER	log2FoldChange
chrsy.fgenesh.mrna.12|pacid:24144817	-5.55282327661686
chrsy.fgenesh.mrna.13|pacid:24144778	-5.61767962499907
chrsy.fgenesh.mrna.36|pacid:24144833	-1.50119783286747
chrsy.fgenesh.mrna.4|pacid:24144757	-2.41269576003839
chrsy.fgenesh.mrna.42|pacid:24144793	-3.60738573530146
chrsy.fgenesh.mrna.47|pacid:24144819	4.61877025143796
chrsy.fgenesh.mrna.52|pacid:24144747	-2.06468941380546
chrsy.fgenesh.mrna.53|pacid:24144746	-2.3187477581984
chrsy.fgenesh.mrna.56|pacid:24144755	-4.40953062923363
chrsy.fgenesh.mrna.58|pacid:24144834	-5.02498214212279
chrsy.fgenesh.mrna.63|pacid:24144754	-5.65972246706117
chrsy.fgenesh.mrna.64|pacid:24144815	-4.48399030176001
chrsy.fgenesh.mrna.65|pacid:24144764	-3.87970515755291
chrsy.fgenesh.mrna.75|pacid:24144798	6.52693035589882
chrsy.fgenesh.mrna.76|pacid:24144818	-2.5477891401572
chrun.fgenesh.mrna.21|pacid:24093297	-2.40352266723869
chrun.fgenesh.mrna.25|pacid:24093311	-5.18180177157981
chrun.fgenesh.mrna.26|pacid:24093343	4.35620425771935
chrun.fgenesh.mrna.49|pacid:24093329	-3.65165404563607
chrun.fgenesh.mrna.57|pacid:24093340	-7.53552285898686
chrun.fgenesh.mrna.59|pacid:24093286	-6.30878603170329
chrun.fgenesh.mrna.60|pacid:24093304	-3.34984277273035
chrun.fgenesh.mrna.75|pacid:24093264	-3.67130127433763
chrun.fgenesh.mrna.79|pacid:24093350	-7.79985636688666
chrun.fgenesh.mrna.95|pacid:24093333	-6.04720390102414
loc_os01g01610.1|pacid:24121480	1.68274971511572
loc_os01g01925.1|pacid:24120290	4.50081520608175
loc_os01g02110.1|pacid:24116381	2.85668913427189
loc_os01g02190.1|pacid:24118482	-3.32786114431284
loc_os01g02500.1|pacid:24117374	-2.40360615289889
loc_os01g02550.1|pacid:24120991	2.87157672330052
loc_os01g02560.1|pacid:24119781	2.28636515974381
loc_os01g03330.1|pacid:24121405	2.5994888567139
loc_os01g03410.1|pacid:24117893	-6.02075175077596
loc_os01g03680.1|pacid:24116717	4.35899892663501
loc_os01g03890.1|pacid:24120532	3.50538820677886
loc_os01g04070.1|pacid:24114229	4.13148711125701
loc_os01g04250.1|pacid:24119914	2.81491685722089
loc_os01g04510.1|pacid:24114461	-3.89350741572506
loc_os01g05090.1|pacid:24119270	3.36271530934681
loc_os01g05150.1|pacid:24115042	2.4673049100439
loc_os01g05180.1|pacid:24115967	5.75256202642438
loc_os01g05250.1|pacid:24119346	-5.80861152067461
loc_os01g05460.1|pacid:24120583	4.41075142629947
loc_os01g05530.1|pacid:24113653	-10.0334823322773
loc_os01g05620.1|pacid:24117037	-6.07011331715319
loc_os01g05760.1|pacid:24120823	3.95794180562836
loc_os01g07330.1|pacid:24115258	-1.0193049559381
loc_os01g07660.1|pacid:24116568	3.58813968330093
loc_os01g08330.1|pacid:24119393	-2.21741840352676
loc_os01g08740.1|pacid:24115553	-3.71473766147819
loc_os01g08810.1|pacid:24116290	-1.87572619765241
loc_os01g08870.1|pacid:24118985	5.26579332020016
loc_os01g08880.1|pacid:24115436	5.08862031781022
loc_os01g09450.1|pacid:24121359	1.54872366989708
loc_os01g09990.1|pacid:24121252	-1.77512342782482
loc_os01g10195.1|pacid:24118673	-2.19498571676661
loc_os01g10450.2|pacid:24120294	-1.22522542309575
loc_os01g10520.1|pacid:24117299	-3.93631434688181
loc_os01g12130.1|pacid:24120376	2.7765759620949
loc_os01g12320.1|pacid:24115373	4.11797652967507
loc_os01g12950.2|pacid:24116521	-2.45282025078658
loc_os01g13090.2|pacid:24116410	-9.81655509432633
loc_os01g13250.1|pacid:24116828	5.73192888100702
loc_os01g14250.1|pacid:24116612	3.99044438373813
loc_os01g14410.1|pacid:24120867	3.36086230459675
loc_os01g14650.1|pacid:24119572	3.98183389774152
loc_os01g14790.1|pacid:24117720	1.26088998466327
loc_os01g14900.1|pacid:24116268	2.75280055401137
loc_os01g15220.1|pacid:24114627	-3.46407761799712
loc_os01g15399.1|pacid:24115820	4.48024358675641
loc_os01g15910.1|pacid:24115076	3.78922160612735
loc_os01g15920.1|pacid:24118009	-3.14094157629383
loc_os01g16390.1|pacid:24115634	-2.54532649720454
loc_os01g16440.1|pacid:24116297	3.75762317203299
loc_os01g16770.1|pacid:24119631	4.56092208042866
loc_os01g17300.1|pacid:24115300	3.68102349538752
loc_os01g18810.1|pacid:24117012	-3.07648892749099
loc_os01g19270.1|pacid:24119039	-6.07867481376478
