/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra.uniq.bam
1562	615	8
2507	4072	34
0	0	0
78583	24382	156
828	1459	16
37952	24659	502
94	127	2
938	581	8
34	111	0
0	2	0
557	8147	54
919	2754	72
18717	45820	865
2	0	0
33	4	28
0	0	0
939	44	82
26504	34574	691
0	0	0
38	79	6
15130	4030	52
8840	3893	29
27934	10911	56
3084	4130	54
11544	2197	35
14683	21973	271
39447	22163	164
0	0	0
9294	3369	63
1	1	0
4188	8447	122
0	0	0
0	0	0
0	16	0
18423	25859	76
2481	6589	78
10833	24488	386
8137	8097	45
3532	4062	156
2733	3119	162
360	291	11
55	52	0
7658	6556	56
2693	9034	50
231	249	2
0	0	0
0	0	0
39	96	8
1	0	0
0	34	0
0	375	0
0	3	0
0	1	0
23	47	2
0	0	0
6	532	0
0	0	0
0	8	0
0	2	0
0	0	0
0	355	0
0	0	0
0	0	0
0	0	0
34904	43217	481
358	1375	54
8	52	0
6	468	2
1392	1248	24
10345	12277	186
92	855	24
206212	276217	8029
29853	21333	451
9857	9456	36
0	0	0
0	0	0
1629	153	115
0	0	0
1239	0	96
3	0	0
87	0	0
2607	176	14
26	7	2
13563	1093	139
10	11	0
2043	2393	64
191	293	4
485870	145334	1114
12731	2821	10
44004	73685	849
701	612	17
3644	3500	95
132	533	7
2	23	0
25	25	4
57	553	1
309	355	1
13986	13775	156
124434	46556	384
13271	5482	89
3100	2213	21
3692	4881	58
8147	4497	102
42	28	16
167	673	8
893	529	6
0	27	0
8	2	0
2021	2770	117
1226	689	38
406	247	4
10536	12148	325
240	312	4
495	821	16
50664	12841	313
8753	6940	36
0	3	0
0	1017	0
0	0	0
73	42	0
0	0	0
5	1	0
5	0	0
0	2	0
0	377	0
0	529	0
6	74	4
774	26	0
1035	66	66
122	103	23
259	37	0
0	0	14
0	0	0
9272	3960	90
20271	15758	220
21123	21231	372
326887	546	38
1	152	4
42	1058	6
2	6	0
0	2	2
0	0	0
0	0	0
0	0	0
2	0	0
0	4	0
0	2	0
0	3	0
42	28	1
622	1947	12
25553	39083	334
8486	8443	125
8346	6380	162
17	1495	10
190	215	0
222	674	6
0	8	0
9012	11767	90
588	1156	26
0	0	0
260	9153	12
12409	7754	201
5466	11709	254
0	1084	2474
18	54	0
1543	834	20
2914	3294	206
485	1	0
22	2	0
105	619	15
7	6	2
151	6	0
257	50	0
13	26	0
62	2	0
232	4	0
962	34	0
297	16	2
2	0	0
407	1	0
1380	1	8
151	0	2
7086	2238	12
1	3	0
0	0	0
23	2	0
0	2	0
2	2	0
3	3	0
2	0	0
1	1	0
2	0	0
0	4	0
0	2	0
0	1	0
1	1	0
18905	8585	88
1940	2017	52
32	150	24
4368	6842	95
204	448	18
44	1486	8
6	64	26
0	0	0
0	2004	2
0	1	0
0	7	0
24199	9285	142
785	2998	42
115	1216	12
9895	7707	262
32	534	40
48	18	14
1695	1858	76
17062	37857	452
130	711	9
943	845	12
381	294	2
2215	3649	72
0	2	0
26809	13047	138
12066	9604	150
5835	9808	162
