/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra.uniq.bam
ChrUn.fgenesh.gene.25.MSUR7	0	0	0
ChrUn.fgenesh.gene.26.MSUR7	1	2	12
ChrUn.fgenesh.gene.27.MSUR7	0	0	2
ChrUn.fgenesh.gene.28.MSUR7	0	2	0
ChrUn.fgenesh.gene.29.MSUR7	0	0	2
ChrUn.fgenesh.gene.2.MSUR7	2	4	7
ChrUn.fgenesh.gene.30.MSUR7	0	0	0
ChrUn.fgenesh.gene.31.MSUR7	0	21	6
ChrUn.fgenesh.gene.32.MSUR7	0	0	0
ChrUn.fgenesh.gene.33.MSUR7	0	0	0
ChrUn.fgenesh.gene.34.MSUR7	0	0	0
ChrUn.fgenesh.gene.35.MSUR7	0	0	129
ChrUn.fgenesh.gene.36.MSUR7	3	0	1
ChrUn.fgenesh.gene.37.MSUR7	0	0	0
ChrUn.fgenesh.gene.38.MSUR7	0	0	7
ChrUn.fgenesh.gene.39.MSUR7	0	0	0
ChrUn.fgenesh.gene.3.MSUR7	0	0	2
ChrUn.fgenesh.gene.40.MSUR7	0	0	0
ChrUn.fgenesh.gene.41.MSUR7	0	0	38
ChrUn.fgenesh.gene.42.MSUR7	0	0	0
ChrUn.fgenesh.gene.43.MSUR7	0	0	0
ChrUn.fgenesh.gene.44.MSUR7	0	0	0
ChrUn.fgenesh.gene.45.MSUR7	0	0	0
ChrUn.fgenesh.gene.46.MSUR7	0	0	0
ChrUn.fgenesh.gene.47.MSUR7	0	0	1
ChrUn.fgenesh.gene.48.MSUR7	0	0	0
ChrUn.fgenesh.gene.49.MSUR7	0	0	0
ChrUn.fgenesh.gene.4.MSUR7	4	2	14
ChrUn.fgenesh.gene.50.MSUR7	0	0	0
ChrUn.fgenesh.gene.51.MSUR7	0	0	0
ChrUn.fgenesh.gene.52.MSUR7	2	2	0
ChrUn.fgenesh.gene.53.MSUR7	0	0	0
ChrUn.fgenesh.gene.54.MSUR7	0	0	0
ChrUn.fgenesh.gene.55.MSUR7	0	0	0
ChrUn.fgenesh.gene.56.MSUR7	0	0	0
ChrUn.fgenesh.gene.57.MSUR7	0	0	0
ChrUn.fgenesh.gene.58.MSUR7	0	0	0
ChrUn.fgenesh.gene.59.MSUR7	0	0	0
ChrUn.fgenesh.gene.5.MSUR7	2	0	0
ChrUn.fgenesh.gene.60.MSUR7	0	0	0
ChrUn.fgenesh.gene.61.MSUR7	0	0	0
ChrUn.fgenesh.gene.62.MSUR7	0	0	0
ChrUn.fgenesh.gene.63.MSUR7	2	0	4
ChrUn.fgenesh.gene.64.MSUR7	0	0	0
ChrUn.fgenesh.gene.65.MSUR7	0	0	0
ChrUn.fgenesh.gene.66.MSUR7	0	0	0
ChrUn.fgenesh.gene.67.MSUR7	0	0	0
ChrUn.fgenesh.gene.68.MSUR7	0	1	0
ChrUn.fgenesh.gene.69.MSUR7	2	0	4
ChrUn.fgenesh.gene.6.MSUR7	0	0	0
ChrUn.fgenesh.gene.70.MSUR7	0	0	0
ChrUn.fgenesh.gene.71.MSUR7	0	0	0
ChrUn.fgenesh.gene.72.MSUR7	0	0	0
ChrUn.fgenesh.gene.73.MSUR7	2	1	2
ChrUn.fgenesh.gene.74.MSUR7	3	0	11
ChrUn.fgenesh.gene.75.MSUR7	0	1	0
ChrUn.fgenesh.gene.76.MSUR7	415	59	800
ChrUn.fgenesh.gene.77.MSUR7	0	0	0
ChrUn.fgenesh.gene.78.MSUR7	0	0	0
ChrUn.fgenesh.gene.79.MSUR7	39	51	179
ChrUn.fgenesh.gene.7.MSUR7	0	0	0
ChrUn.fgenesh.gene.80.MSUR7	0	0	0
ChrUn.fgenesh.gene.81.MSUR7	0	0	0
ChrUn.fgenesh.gene.82.MSUR7	0	0	0
ChrUn.fgenesh.gene.83.MSUR7	6	2	12
ChrUn.fgenesh.gene.84.MSUR7	0	0	0
ChrUn.fgenesh.gene.85.MSUR7	80	50	739
ChrUn.fgenesh.gene.86.MSUR7	8	4	65
ChrUn.fgenesh.gene.87.MSUR7	0	0	2
ChrUn.fgenesh.gene.88.MSUR7	0	0	1
ChrUn.fgenesh.gene.89.MSUR7	0	0	2
ChrUn.fgenesh.gene.8.MSUR7	0	0	1
ChrUn.fgenesh.gene.90.MSUR7	0	0	0
ChrUn.fgenesh.gene.91.MSUR7	0	0	0
ChrUn.fgenesh.gene.92.MSUR7	23	0	9
ChrUn.fgenesh.gene.93.MSUR7	0	0	0
ChrUn.fgenesh.gene.94.MSUR7	3	0	0
ChrUn.fgenesh.gene.95.MSUR7	0	0	0
ChrUn.fgenesh.gene.96.MSUR7	2236	346	27133
ChrUn.fgenesh.gene.9.MSUR7	0	0	2
LOC_Os01g01010.MSUR7	1967	705	7021
LOC_Os01g01019.MSUR7	4	27	60
LOC_Os01g01030.MSUR7	88	187	2733
LOC_Os01g01040.MSUR7	973	579	5640
LOC_Os01g01050.MSUR7	911	800	4070
LOC_Os01g01060.MSUR7	2584	1506	40607
LOC_Os01g01070.MSUR7	917	481	3637
LOC_Os01g01080.MSUR7	3219	2593	24328
LOC_Os01g01110.MSUR7	0	6	26
LOC_Os01g01115.MSUR7	14	37	170
LOC_Os01g01120.MSUR7	2146	275	6917
LOC_Os01g01130.MSUR7	2454	418	7004
LOC_Os01g01140.MSUR7	0	0	3
