/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra.uniq.bam
6	2	3182
694	135	6295
14154	9327	11848
6	135	30
36	259	226
1312	2195	701
1055	1468	450
135	10	34
792	170	361
550	275	310
556	720	1752
16	0	4
53	68	247
66	47	9
39	64	11
1455	694	689
0	4	5
1191	2988	1258
90	1433	1363
644	110	1514
666	1314	2476
0	0	0
30590	47963	16182
2261	162	1254
11297	25973	25922
6	374	146
486	2374	1266
11	195	142
1	1	0
12	97	11432
110	516	2820
12673	38575	37918
3	0	1
8	518	7
0	0	0
262	4494	31
16643	42825	54671
1	0	3
5	23	134
4804	589	3689
3800	4721	7754
20944	3386	15181
2559	2132	5703
6059	1695	5924
4692	19973	24043
3944	6936	20705
0	0	0
4584	6696	3410
0	0	53
3010	3585	24656
0	7	1
0	1	0
0	21	444
13803	6447	19645
2128	21311	14143
3434	11176	23956
7026	53	8158
1479	575	404
1197	378	4614
392	661	668
47	93	219
4274	7398	6794
370	2208	622
0	19	1
0	0	0
64	16	200
0	0	0
10	2	39
0	0	0
75	710	191
0	34	0
0	0	0
0	0	0
0	0	0
1	6	0
0	0	0
2	2	0
3	34	4
0	0	0
1	4	2
0	0	0
0	1	0
17	230	2
22838	18573	49707
270	143	4968
4	8	122
57	34	820
46	5	144
2450	8601	17307
29	7	2984
89356	181645	315603
18156	24151	35085
4646	5894	10743
138	2	17
2889	2157	5665
1621	4682	4983
2	2	1
6346	8550	19131
0	0	2
0	60	16
590	684	8061
3	83	72
870	1383	2511
31	384	245
4391	8103	9291
29	700	70
171973	94378	234623
5792	2104	3542
19725	15057	49355
482	1106	655
2252	5083	5255
50	41	1160
1	13	553
80	576	1916
2	1	38
0	9	21
7901	10806	17770
153905	7882	38433
3209	7353	14178
86	2961	8034
2986	4015	5856
13353	16	33030
33	2	74
258	809	756
709	1440	1557
0	2	4
6	0	11
923	2491	4938
112	256	399
120	366	208
6149	9024	20688
304	346	231
240	623	1305
8120	7710	24272
6026	2073	5628
0	0	0
0	0	1550
0	0	0
0	46	32
0	0	0
0	0	5
2	0	2
1	0	1
0	8	1677
52	14	716
163	89	255
11	43	2
144	8856	2
15	2150	64
21	29	8
0	1	0
2	0	8
6962	7990	17423
16702	19896	18882
18325	27065	23387
580	199245	876
2	7	229
54	50	2036
0	0	42
2	0	45
0	2	0
0	0	6
0	2	0
2	2	36
6	12	5
0	7	6
2	7	5
49	403	92
1238	1546	3823
14024	22644	44397
3577	8761	5596
6831	5218	7260
1955	6146	693
1619	3967	1214
558	224	3078
2	0	12
3407	7443	12379
16	44	321
2	0	4
48	4	74272
12358	13646	9182
5326	25972	12495
2	18	134793
0	15	40
879	18524	319
3351	8422	3388
234	2	0
7	0	0
128	966	463
2	10	0
20	113	5
2	0	1
8	0	1
12	19	14
218	71	199
178	10	2
1029	123	260
32	2	8
4	34	125
348	339	580
22	98	237
191	597	2116
0	0	0
0	0	0
0	2	6
0	0	2
0	2	0
0	8	1
0	1	0
0	8	0
0	27	1
0	26	0
1	17	0
0	3	4
1	2	0
24875	1835	7512
1613	2086	3519
261	359	370
2979	9256	6645
221	4553	507
136	415	3161
2	0	305
0	1	59
2314	4124	6941
1	6	0
0	1	2
7018	10232	14196
832	1995	1845
8	2	2166
12683	5663	21806
161	606	1797
1088	404	1493
1378	2300	892
11868	28544	35618
135	107	873
962	1366	2271
109	262	407
231	1756	6968
0	0	8
10447	2572	16305
7169	6789	11616
3157	4810	20488
7144	12955	32147
2605	5029	11942
1105	2381	7797
126	1004	49354
0	27	12
0	48	6
0	0	0
2	0	0
9	2711	1981
7384	17844	17963
3610	2882	4505
2	0	0
7638	17170	28436
1889	594	460
1729	1560	2850
22	58	30
19	29	7646
12	268	2994
5419	2206	4945
106	284	305
172	1229	859
48	162	2958
890	3205	19972
4	14	22
0	0	0
0	2	2
0	0	53
0	0	290
6417	1997	5810
6	0	58
4706	7969	8056
11091	1161	4689
4719	9003	12492
29231	62689	72886
1409	6186	672
948	1689	4117
2451	245	344
27526	803	3892
9446	18697	44056
0	4602	2
16899	36651	9333
875	1557	4990
1075	4034	312
23	25	409
4698	12019	47330
856	1447	3001
0	8	2038
1338	1699	5146
2880	4147	8076
14653	19171	53024
1138	6846	7213
33	538	511
6	101	27
1528	835	14141
3283	7	16387
0	0	0
651	7600	361
122	1339	409
485	2305	2257
36	265	359
8	170	34
36	269	185
12	140	1820
772	927	447
0	44	31
0	0	0
28	53	998
8636	13067	20899
43	77	696
0	0	8
94	325	22056
17960	13969	23001
3139	3268	5374
1575	3310	3559
586	13900	1349
657	1118	8233
4425	11572	24295
12	60	305
722	3362	4132
914	1632	5612
4	0	169
826	1412	875
2	5181	1357
0	0	0
4772	7548	19912
16823	20115	37485
4241	4081	5612
5207	6235	11896
6903	2473	2901
4183	10773	21483
47564	780	15379
76	92	122
0	4	2
3296	1163	11884
86	454	3122
359	417	1754
775	796	1488
23583	34002	66696
0	0	517
2972	5140	6381
3	1	1
2249	2567	4675
4	5	16
0	0	1
226	78	103
323	5870	2587
7876	9259	35838
27	1145	1546
1265	1126	2450
449	1261	1521
139646	213442	215618
16	131	2597
215	0	82
7440	8767	13943
598	3262	4630
4410	5825	8663
162	1793	2429
0	14	241
14	68	14568
891	3710	6295
2086	4835	8586
0	14	319
4907	23087	13862
40	38	18
1992	5473	4346
36	88	3209
0	0	0
0	0	0
0	1	0
1	1	0
2699	7900	6952
3421	13156	7950
29758	61335	48549
0	1	1
47	1156	340
19542	28645	36632
1717	9944	28744
5437	9718	8648
942	10034	3534
32	11173	88
0	8	4
67	1355	492
5963	9115	6660
0	0	35
5	13	43
16	89	0
144	131	2
6338	16753	20258
239	1417	1554
11664	25815	27731
3042	4024	6118
3	114	832
84	31	271
4504	6915	17497
13240	7871	8694
3586	1146	2553
789	419	411
38643	42726	39808
5	1	4
0	108	146
0	1	6
0	2	7
0	33	23
0	1	3
0	0	0
31	45	245
8825	7471	8248
0	4	0
1206	2452	3931
213	7673	5849
4	19	167
0	0	0
8	318	490
39732	37031	163707
30535	2852	34771
2222	6606	15931
13859	28638	73450
16099	16913	23784
16	55	2079
577	7394	3484
633	16593	34832
7534	16013	1778
0	0	2
21	764	579
111	858	365
232	1097	15113
0	2	0
1	0	0
10	490	12
0	0	15
0	0	496
821	1092	4151
1482	2020	1893
3056	1324	3133
1967	6261	6382
2572	3591	8470
164	826	832
2641	11670	18327
6	0	2
399	5472	1138
641	5270	5380
94	49	506
114	132	143323
12750	14665	37388
0	31	22
85	28	285
2	0	6
0	0	6
0	0	0
185	3754	542
7	228	656
867	1738	5472
759	1965	8923
83	129	183
541	237	2966
1	0	0
1596	355	1684
8531	1216	21934
5	27	68
2587	1855	3587
438	28	435
392	753	786
256	52	1308
25213	19614	28601
0	2	0
0	0	43
0	1088	1534
92	319	493
1	0	2
43693	289	10934
48	131	638
2	1	0
18798	8934	20728
167	3	29
42	0	4
9083	6298	12220
7229	8784	16328
709	786	860
0	62	1
952	10576	1533
686	1752	8699
2390	3680	9143
6	1	126
8023420	219588	879348
0	0	1
6020	4912	13010
377	3026	14838
19485	16412	5285
4	273	128
0	0	17498
0	0	584
0	2	9946
60	7300	63663
237	1882	553
1508	10038	5863
0	1	1
7307	12729	9074
27	172	251
109	839	232
3122	9512	21552
801	873	1759
507	0	522
